Varonis Systems Price to Free Cash Flow Ratio Historical Data,Varonis Systems Price to Free Cash Flow Ratio Historical Data,Varonis Systems Price to Free Cash Flow Ratio Historical Data,Varonis Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.24,,80.63
2024-06-30,47.97,$0.73,65.29
2024-03-31,47.17,$0.68,69.26
2023-12-31,45.28,$0.50,90.98
2023-09-30,30.54,$0.42,73.13
2023-06-30,26.65,$0.33,79.93
2023-03-31,26.01,$0.14,186.32
2022-12-31,23.94,$0.00,0.0
2022-09-30,26.52,$-0.05,0.0
2022-06-30,29.32,$-0.08,0.0
2022-03-31,47.54,$-0.03,0.0
2021-12-31,48.78,$-0.03,0.0
2021-09-30,60.85,$0.07,841.63
2021-06-30,57.62,$0.08,751.24
2021-03-31,51.34,$0.01,0.0
2020-12-31,54.54,$-0.17,0.0
2020-09-30,38.47,$-0.34,0.0
2020-06-30,29.49,$-0.48,0.0
2020-03-31,21.22,$-0.48,0.0
2019-12-31,25.9,$-0.40,0.0
2019-09-30,19.93,$-0.26,0.0
2019-06-30,20.65,$-0.13,0.0
2019-03-31,19.88,$0.07,290.6
2018-12-31,17.63,$0.16,109.73
2018-09-30,24.42,$0.20,124.89
2018-06-30,24.83,$0.29,86.8
2018-03-31,20.17,$0.24,83.2
2017-12-31,16.18,$0.13,120.59
2017-09-30,13.97,$0.11,129.56
2017-06-30,12.4,$0.09,134.2
2017-03-31,10.6,$0.07,154.97
2016-12-31,8.93,$0.04,200.75
2016-09-30,10.03,$0.04,278.7
2016-06-30,8.01,$0.01,690.23
2016-03-31,6.08,$-0.05,0.0
2015-12-31,6.27,$-0.10,0.0
2015-09-30,5.19,$-0.17,0.0
2015-06-30,7.36,$-0.36,0.0
2015-03-31,8.55,$-0.14,0.0
2014-12-31,10.94,$-0.17,0.0
