Centene Price to Free Cash Flow Ratio Historical Data,Centene Price to Free Cash Flow Ratio Historical Data,Centene Price to Free Cash Flow Ratio Historical Data,Centene Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,78.83,,18.28
2024-06-30,66.3,$4.31,15.37
2024-03-31,78.48,$4.86,16.14
2023-12-31,74.21,$13.29,5.58
2023-09-30,68.88,$10.27,6.7
2023-06-30,67.45,$13.80,4.89
2023-03-31,63.21,$10.75,5.88
2022-12-31,82.01,$4.18,19.63
2022-09-30,77.81,$9.95,7.82
2022-06-30,84.61,$7.07,11.98
2021-12-31,82.4,$5.58,14.77
2021-09-30,62.31,$11.32,5.51
2021-06-30,72.93,$10.22,7.14
2021-03-31,63.91,$5.71,11.2
2020-12-31,60.03,$11.92,5.04
2022-03-31,84.19,$4.70,17.91
2020-09-30,58.33,$1.13,51.46
2020-06-30,63.55,$2.48,25.6
2020-03-31,59.41,$-1.68,0.0
2019-12-31,62.87,$1.79,35.1
2019-09-30,43.26,$1.93,22.4
2019-06-30,52.44,$3.52,14.89
2019-03-31,53.1,$-0.46,0.0
2018-12-31,57.65,$1.40,41.1
2018-09-30,72.39,$4.22,17.14
2018-06-30,61.61,$3.26,18.87
2018-03-31,53.44,$4.29,12.46
2017-12-31,50.44,$3.02,16.71
2017-09-30,48.39,$6.66,7.27
2017-06-30,39.94,$6.27,6.37
2017-03-31,35.63,$8.02,4.44
2016-12-31,28.26,$5.33,5.3
2016-09-30,33.48,$0.83,40.32
2016-03-31,30.79,$2.59,11.88
2015-12-31,32.91,$2.06,15.94
2015-09-30,27.12,$7.00,3.87
2015-06-30,40.2,$2.79,14.39
2015-03-31,35.35,$3.18,11.12
2014-12-31,25.96,$3.67,7.08
2016-06-30,35.69,$-0.91,0.0
2014-09-30,20.68,$3.90,5.3
2014-06-30,18.9,$2.72,6.95
2014-03-31,15.56,$2.23,6.97
2013-12-31,14.74,$1.40,10.56
2013-09-30,15.99,$0.54,29.45
2013-06-30,13.12,$1.47,8.93
2013-03-31,11.01,$2.48,4.44
2012-12-31,10.25,$0.92,11.18
2012-09-30,9.35,$1.84,5.08
2012-06-30,7.54,$0.48,15.61
2012-03-31,12.24,$-0.89,0.0
2011-12-31,9.9,$0.90,11.05
2011-09-30,7.17,$0.98,7.3
2011-06-30,8.88,$1.13,7.85
2011-03-31,8.25,$0.94,8.79
2010-12-31,6.34,$0.25,25.38
2010-09-30,5.9,$-0.40,0.0
2010-06-30,5.38,$-0.05,0.0
2010-03-31,6.01,$0.55,11.0
2009-12-31,5.29,$0.93,5.68
