MicroStrategy Price to Free Cash Flow Ratio Historical Data,MicroStrategy Price to Free Cash Flow Ratio Historical Data,MicroStrategy Price to Free Cash Flow Ratio Historical Data,MicroStrategy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,193.42,,0.0
2024-06-30,137.75,$-0.03,0.0
2024-03-31,170.46,$-0.04,0.0
2023-12-31,63.16,$0.06,1070.54
2023-09-30,32.83,$-0.10,0.0
2023-06-30,34.24,$-0.07,0.0
2023-03-31,29.23,$-0.12,0.0
2022-12-31,14.16,$0.01,0.0
2022-09-30,21.23,$0.20,108.63
2022-06-30,16.43,$0.33,50.49
2022-03-31,48.63,$0.65,75.34
2021-12-31,54.45,$0.91,59.87
2021-09-30,57.84,$1.12,51.6
2021-06-30,66.45,$1.03,64.6
2021-03-31,67.88,$0.88,77.3
2020-12-31,38.86,$0.52,75.3
2020-09-30,15.06,$0.36,42.23
2020-06-30,11.83,$0.36,33.26
2020-03-31,11.81,$0.58,20.5
2019-12-31,14.26,$0.49,29.06
2019-09-30,14.84,$0.29,51.75
2019-06-30,14.33,$0.25,57.67
2019-03-31,14.43,$0.08,181.68
2018-12-31,12.78,$0.03,385.95
2018-09-30,14.06,$0.40,35.33
2018-06-30,12.78,$0.52,24.74
2018-03-31,12.9,$0.57,22.48
2017-12-31,13.13,$0.64,20.39
2017-09-30,12.77,$0.55,23.39
2017-06-30,19.17,$0.68,28.27
2017-03-31,18.78,$0.72,26.06
2016-12-31,19.74,$0.94,21.0
2016-09-30,16.74,$1.03,16.2
2016-06-30,17.5,$1.07,16.43
2016-03-31,17.97,$1.20,15.01
2015-12-31,17.93,$1.18,15.14
2015-09-30,19.65,$0.88,22.35
2015-06-30,17.01,$0.54,31.31
2015-03-31,16.92,$0.29,57.9
2014-12-31,16.24,$-0.05,0.0
2014-09-30,13.08,$0.15,89.49
2014-06-30,14.06,$0.45,31.21
2014-03-31,11.54,$0.34,34.11
2013-12-31,12.42,$0.12,104.32
2013-09-30,10.38,$0.05,226.06
2013-06-30,8.7,$-0.06,0.0
2013-03-31,10.11,$-0.10,0.0
2012-12-31,9.34,$0.11,86.14
2012-09-30,13.41,$0.24,55.04
2012-06-30,12.99,$0.02,559.74
2012-03-31,14.0,$-0.25,0.0
2011-12-31,10.83,$-0.20,0.0
2011-09-30,11.41,$-0.23,0.0
2011-06-30,16.27,$-0.13,0.0
2010-12-31,8.55,$0.49,17.55
2010-09-30,8.66,$0.78,11.08
2010-06-30,7.51,$0.81,9.28
2010-03-31,8.51,$0.97,8.73
2009-12-31,9.4,$0.87,10.77
2011-03-31,13.45,$0.59,22.64
