RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,164.21,,17.77
2024-06-30,140.43,$9.24,15.19
2024-03-31,148.19,$9.99,14.84
2023-12-31,132.63,$9.95,13.33
2023-09-30,133.12,$6.58,20.24
2023-06-30,133.41,$9.77,13.66
2023-03-31,129.66,$6.82,19.0
2022-12-31,127.81,$7.56,16.91
2022-09-30,94.31,$10.79,8.74
2022-03-31,101.45,$7.75,13.09
2021-12-31,102.55,$8.24,12.45
2021-09-30,89.81,$8.01,11.22
2021-06-30,93.46,$5.72,16.34
2021-03-31,99.46,$5.20,19.13
2020-12-31,92.64,$5.85,15.85
2022-06-30,107.15,$3.70,28.99
2020-09-30,73.55,$5.42,13.57
2020-06-30,71.94,$5.48,13.13
2020-03-31,76.81,$5.14,14.94
2019-12-31,78.42,$5.97,13.15
2019-09-30,79.95,$5.21,15.34
2019-06-30,73.57,$4.82,15.26
2019-03-31,61.42,$5.06,12.13
2018-12-31,58.87,$4.71,12.5
2018-09-30,67.06,$4.65,14.43
2018-06-30,56.32,$4.83,11.65
2018-03-31,53.76,$4.35,12.35
2017-12-31,51.27,$4.23,12.11
2017-09-30,46.96,$4.22,11.13
2017-06-30,44.54,$3.78,11.78
2017-03-31,48.76,$3.39,14.37
2016-12-31,51.11,$3.60,14.19
2016-09-30,53.43,$3.13,17.09
2016-06-30,53.6,$3.06,17.49
2016-03-31,51.95,$3.11,16.7
2015-12-31,47.84,$3.23,14.8
2015-09-30,40.03,$3.42,11.71
2015-06-30,38.29,$3.42,11.18
2015-03-31,38.9,$3.27,11.88
2014-12-31,36.53,$2.65,13.77
2014-09-30,29.95,$2.94,10.18
2014-06-30,31.55,$3.07,10.27
2014-03-31,30.37,$2.87,10.6
2013-12-31,33.29,$2.73,12.18
2013-09-30,28.93,$2.08,13.89
2013-06-30,25.17,$1.79,14.07
2013-03-31,23.57,$0.39,60.35
2012-12-31,21.11,$0.50,42.12
2012-09-30,20.12,$0.05,399.25
2012-06-30,20.48,$1.40,14.59
2012-03-31,21.42,$2.53,8.48
2011-12-31,21.69,$2.91,7.45
2011-09-30,17.56,$4.14,4.24
2011-03-31,15.76,$2.77,5.69
2010-12-31,14.3,$2.31,6.2
2010-09-30,13.53,$3.05,4.44
2010-06-30,12.49,$1.26,9.88
2010-03-31,13.49,$1.44,9.35
2009-12-31,12.53,$2.83,4.43
2011-06-30,17.02,$1.92,8.85
