Ultra Clean Holdings Price to Free Cash Flow Ratio Historical Data,Ultra Clean Holdings Price to Free Cash Flow Ratio Historical Data,Ultra Clean Holdings Price to Free Cash Flow Ratio Historical Data,Ultra Clean Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.46,,36.03
2024-06-30,49.0,$1.04,47.13
2024-03-31,45.94,$2.36,19.48
2023-12-31,34.14,$0.99,34.48
2023-09-30,29.67,$1.68,17.67
2023-06-30,38.46,$2.50,15.38
2022-12-31,33.15,$-1.15,0.0
2022-09-30,25.75,$3.99,6.45
2022-06-30,29.77,$2.90,10.27
2022-03-31,42.39,$2.19,19.4
2021-12-31,57.36,$4.98,11.52
2023-03-31,33.16,$2.99,11.1
2021-09-30,42.6,$3.81,11.18
2021-06-30,53.72,$3.46,15.51
2021-03-31,58.04,$3.02,19.24
2020-12-31,31.15,$1.64,18.97
2020-09-30,21.46,$1.40,15.33
2020-06-30,22.63,$1.48,15.32
2020-03-31,13.8,$2.44,5.65
2019-12-31,23.47,$2.57,9.12
2019-09-30,14.64,$2.38,6.14
2019-06-30,13.92,$2.52,5.52
2019-03-31,10.35,$0.78,13.34
2018-12-31,8.47,$0.40,21.12
2018-09-30,12.55,$0.22,56.79
2018-06-30,16.6,$-0.02,0.0
2018-03-31,19.25,$0.75,25.79
2017-12-31,23.09,$0.96,24.15
2017-09-30,30.62,$0.92,33.23
2017-06-30,18.75,$0.73,25.56
2017-03-31,16.87,$0.57,29.73
2016-12-31,9.7,$0.31,31.22
2016-09-30,7.41,$-0.15,0.0
2016-06-30,5.69,$-0.30,0.0
2016-03-31,5.36,$-0.10,0.0
2015-12-31,5.12,$-0.29,0.0
2015-09-30,5.74,$0.06,89.83
2015-06-30,6.23,$0.64,9.73
2015-03-31,7.15,$0.46,15.64
2014-12-31,9.28,$0.84,11.02
2014-09-30,8.95,$0.60,14.95
2014-06-30,9.05,$0.28,31.98
2014-03-31,13.15,$0.48,27.47
2013-12-31,10.03,$0.93,10.76
2013-09-30,6.91,$1.08,6.43
2013-06-30,6.05,$1.03,5.87
2013-03-31,6.5,$1.44,4.53
2012-12-31,4.91,$1.02,4.82
2012-09-30,5.71,$1.67,3.41
2012-06-30,6.43,$1.53,4.2
2012-03-31,7.54,$0.97,7.8
2011-12-31,6.11,$0.84,7.25
2011-09-30,4.29,$-0.02,0.0
2011-06-30,9.08,$0.11,81.0
2011-03-31,10.34,$-0.23,0.0
2010-12-31,9.31,$-0.38,0.0
2010-09-30,8.62,$-0.32,0.0
2010-06-30,8.52,$-0.45,0.0
2010-03-31,8.53,$-0.17,0.0
2009-12-31,6.99,$0.02,423.64
