Pure Storage Price to Free Cash Flow Ratio Historical Data,Pure Storage Price to Free Cash Flow Ratio Historical Data,Pure Storage Price to Free Cash Flow Ratio Historical Data,Pure Storage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.49,,29.81
2024-07-31,59.93,$1.89,31.63
2024-04-30,50.4,$1.59,31.74
2024-01-31,39.99,$1.45,27.56
2023-10-31,33.81,$1.20,28.19
2023-07-31,36.99,$1.31,28.2
2023-04-30,22.83,$1.56,14.63
2023-01-31,28.94,$1.80,16.12
2022-10-31,30.86,$1.86,16.56
2022-07-31,28.35,$2.13,13.32
2022-04-30,29.3,$1.71,17.13
2022-01-31,26.49,$1.26,21.1
2021-10-31,26.86,$0.87,30.89
2021-04-30,20.22,$0.28,72.19
2021-01-31,23.13,$0.35,66.85
2020-10-31,16.1,$0.25,63.19
2020-07-31,17.86,$0.36,49.08
2020-04-30,14.4,$0.44,32.98
2020-01-31,17.8,$0.47,37.52
2021-07-31,19.52,$0.31,62.03
2019-10-31,19.46,$0.40,48.59
2019-07-31,15.14,$0.35,42.8
2019-04-30,22.86,$0.22,103.39
2019-01-31,17.91,$0.28,64.75
2018-10-31,20.18,$0.23,86.09
2018-07-31,21.66,$0.18,119.4
2018-04-30,20.23,$0.15,133.62
2018-01-31,20.14,$0.04,553.3
2017-10-31,16.43,$-0.02,0.0
2017-07-31,12.07,$-0.42,0.0
2017-04-30,10.61,$-0.51,0.0
2017-01-31,11.37,$-0.47,0.0
2016-10-31,12.34,$-0.10,0.0
2016-07-31,12.6,$-0.84,0.0
