Gibraltar Industries Price to Free Cash Flow Ratio Historical Data,Gibraltar Industries Price to Free Cash Flow Ratio Historical Data,Gibraltar Industries Price to Free Cash Flow Ratio Historical Data,Gibraltar Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.18,,10.11
2023-12-31,78.98,$6.65,11.89
2023-09-30,67.51,$8.32,8.12
2023-06-30,62.92,$6.44,9.77
2023-03-31,48.5,$4.09,11.86
2022-12-31,45.88,$2.57,17.87
2022-09-30,40.93,$1.79,22.89
2022-06-30,38.75,$-0.20,0.0
2022-03-31,42.95,$0.03,1399.02
2021-12-31,66.68,$0.17,395.02
2021-09-30,69.65,$-0.09,0.0
2021-06-30,76.31,$2.70,28.29
2021-03-31,91.51,$3.45,26.49
2020-12-31,71.94,$2.31,31.11
2020-09-30,65.14,$3.23,20.16
2020-06-30,48.01,$3.35,14.33
2020-03-31,42.92,$3.58,11.99
2019-12-31,50.44,$3.71,13.61
2019-09-30,45.94,$3.61,12.73
2019-06-30,40.36,$2.84,14.21
2019-03-31,40.61,$2.07,19.57
2018-12-31,35.59,$2.69,13.23
2018-09-30,45.6,$1.53,29.81
2018-06-30,37.5,$1.11,33.65
2018-03-31,33.85,$-1.03,0.0
2017-12-31,33.0,$1.91,17.26
2017-09-30,31.15,$1.76,17.72
2017-06-30,35.65,$1.58,22.52
2024-06-30,68.55,$4.77,14.39
2017-03-31,41.2,$3.43,12.01
2016-12-31,41.65,$3.56,11.7
2016-09-30,37.15,$4.13,8.99
2016-06-30,31.57,$3.58,8.82
2016-03-31,28.6,$3.36,8.52
2015-12-31,25.44,$3.21,7.92
2015-09-30,18.35,$0.94,19.62
2015-06-30,20.37,$1.55,13.15
2015-03-31,16.41,$1.25,13.17
2014-12-31,16.26,$1.25,13.05
2024-03-31,80.53,$1.74,46.21
2014-09-30,13.69,$0.69,19.87
2014-06-30,15.51,$1.55,10.0
2014-03-31,18.87,$1.75,10.8
2013-12-31,18.59,$1.87,9.92
2013-09-30,14.26,$1.96,7.27
2013-06-30,14.56,$1.50,9.7
2013-03-31,18.25,$1.32,13.85
2012-12-31,15.95,$1.28,12.5
2012-09-30,12.82,$1.16,11.01
2012-06-30,10.38,$1.32,7.84
2012-03-31,15.15,$1.13,13.45
2011-12-31,13.96,$1.19,11.76
2011-09-30,8.12,$1.11,7.29
2011-06-30,11.32,$0.81,13.92
2011-03-31,11.93,$1.00,11.98
2010-12-31,13.57,$2.02,6.72
2010-09-30,8.98,$2.18,4.12
2010-06-30,10.1,$2.95,3.43
2010-03-31,12.61,$3.73,3.38
2009-12-31,15.73,$4.04,3.9
