Equity Commonwealth Price to Free Cash Flow Ratio Historical Data,Equity Commonwealth Price to Free Cash Flow Ratio Historical Data,Equity Commonwealth Price to Free Cash Flow Ratio Historical Data,Equity Commonwealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.81,,17.12
2024-06-30,19.4,$1.16,16.77
2024-03-31,18.88,$1.11,17.02
2023-12-31,19.2,$1.11,17.3
2023-09-30,18.37,$1.07,17.12
2023-06-30,20.26,$0.92,22.12
2023-03-31,20.71,$0.76,27.28
2022-12-31,20.81,$0.58,36.05
2022-09-30,20.3,$0.33,60.63
2022-06-30,22.03,$0.23,95.71
2022-03-31,22.58,$0.15,155.06
2021-12-31,20.73,$0.13,156.2
2021-09-30,20.79,$-0.12,0.0
2021-06-30,20.97,$-0.04,0.0
2021-03-31,22.25,$0.84,26.61
2020-12-31,21.83,$5.44,4.01
2020-09-30,21.31,$5.69,3.74
2020-06-30,22.78,$5.94,3.83
2020-03-31,22.43,$8.01,2.8
2019-12-31,23.22,$6.90,3.37
2019-09-30,21.79,$7.18,3.03
2019-06-30,20.68,$8.20,2.52
2019-03-31,20.79,$4.80,4.33
2018-12-31,19.09,$2.43,7.87
2018-09-30,18.8,$6.33,2.97
2018-06-30,18.46,$6.06,3.05
2017-12-31,17.88,$7.21,2.48
2017-09-30,17.81,$10.57,1.69
2017-06-30,18.52,$12.19,1.52
2017-03-31,18.3,$16.35,1.12
2016-12-31,17.72,$18.32,0.97
2018-03-31,17.97,$14.95,1.2
2016-09-30,17.71,$13.08,1.35
2016-06-30,17.07,$11.54,1.48
2016-03-31,16.54,$16.69,0.99
2015-12-31,16.25,$16.05,1.01
2015-09-30,15.96,$12.70,1.26
2015-06-30,15.04,$9.05,1.66
2015-03-31,15.56,$3.34,4.65
2014-12-31,15.04,$3.27,4.6
2014-09-30,15.07,$4.74,3.18
2014-06-30,15.42,$5.21,2.96
2014-03-31,15.41,$4.22,3.65
2013-12-31,13.51,$2.72,4.97
2013-09-30,12.57,$-1.19,0.0
2013-06-30,13.12,$-2.70,0.0
2013-03-31,12.6,$-4.55,0.0
2012-12-31,8.75,$-4.12,0.0
2012-09-30,7.91,$-1.81,0.0
2012-06-30,10.12,$-0.72,0.0
2012-03-31,9.59,$-1.60,0.0
2011-12-31,8.34,$-3.11,0.0
2011-09-30,9.26,$-10.14,0.0
2011-06-30,12.37,$-6.82,0.0
2011-03-31,12.2,$-3.55,0.0
2010-12-31,11.76,$-0.61,0.0
2010-09-30,11.58,$-2.69,0.0
2010-06-30,11.01,$-2.98,0.0
2010-03-31,13.59,$-2.10,0.0
2009-12-31,11.3,$-1.57,0.0
