Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data,Dun & Bradstreet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.46,,130.52
2024-06-30,9.26,$0.09,105.47
2023-12-31,11.7,$1.04,11.26
2023-09-30,9.99,$1.50,6.64
2023-06-30,11.57,$1.71,6.75
2023-03-31,11.74,$2.10,5.6
2022-12-31,12.26,$1.91,6.42
2024-03-31,10.04,$1.37,7.35
2022-09-30,12.39,$1.24,10.02
2022-06-30,14.98,$0.97,15.49
2022-03-31,17.46,$0.90,19.44
2021-12-31,20.42,$0.97,20.97
2021-09-30,16.75,$0.98,17.07
2021-06-30,21.3,$1.03,20.63
