ICU Medical Price to Free Cash Flow Ratio Historical Data,ICU Medical Price to Free Cash Flow Ratio Historical Data,ICU Medical Price to Free Cash Flow Ratio Historical Data,ICU Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,180.51,,26.04
2024-06-30,118.75,$6.93,17.13
2024-03-31,107.32,$3.61,29.77
2023-12-31,99.74,$3.48,28.67
2023-09-30,119.01,$-0.06,0.0
2023-06-30,178.19,$-1.39,0.0
2023-03-31,164.96,$-4.20,0.0
2022-12-31,157.48,$-6.35,0.0
2022-09-30,150.6,$-2.60,0.0
2022-06-30,164.39,$1.02,161.23
2022-03-31,222.64,$6.41,34.75
2021-12-31,237.34,$9.15,25.95
2021-09-30,233.38,$8.92,26.17
2021-06-30,205.8,$8.46,24.33
2021-03-31,205.44,$7.40,27.75
2020-12-31,214.49,$6.34,33.82
2020-09-30,182.76,$4.96,36.85
2020-06-30,184.31,$3.79,48.68
2020-03-31,201.77,$3.18,63.46
2019-12-31,187.12,$0.22,869.11
2019-09-30,159.6,$0.59,268.91
2019-06-30,251.91,$0.46,543.73
2019-03-31,239.33,$3.06,78.24
2018-12-31,229.63,$3.76,61.04
2018-09-30,282.75,$5.20,54.36
2018-06-30,293.65,$7.80,37.64
2018-03-31,252.4,$6.99,36.12
2017-12-31,216.0,$3.83,56.35
2017-09-30,185.85,$1.80,103.06
2017-06-30,172.5,$-0.70,0.0
2017-03-31,152.7,$-1.50,0.0
2016-12-31,147.35,$4.05,36.4
2016-09-30,126.38,$3.74,33.76
2016-06-30,112.75,$3.76,29.96
2016-03-31,104.1,$3.44,30.25
2015-12-31,112.78,$3.32,33.95
2015-09-30,109.5,$3.70,29.56
2015-06-30,95.66,$3.58,26.71
2015-03-31,93.14,$3.41,27.33
2014-12-31,81.9,$3.18,25.76
2014-09-30,64.18,$3.49,18.37
2014-06-30,60.81,$3.25,18.74
2014-03-31,59.88,$3.22,18.62
2013-12-31,63.71,$3.10,20.55
2013-09-30,67.93,$3.09,21.95
2013-06-30,72.06,$2.54,28.35
2013-03-31,58.95,$2.50,23.58
2012-12-31,60.93,$3.20,19.04
2012-09-30,60.48,$4.88,12.39
2012-06-30,53.38,$5.07,10.53
2012-03-31,49.16,$4.88,10.07
2011-12-31,45.0,$4.58,9.82
2011-09-30,36.8,$2.21,16.66
2011-06-30,43.7,$1.36,32.15
2011-03-31,43.78,$1.46,30.04
2010-12-31,36.5,$0.78,46.75
2010-09-30,37.29,$0.46,81.6
2010-06-30,32.17,$1.43,22.45
2010-03-31,34.45,$1.16,29.58
2009-12-31,36.44,$2.30,15.85
