Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data,Pitney Bowes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.06,,11.55
2024-06-30,5.04,$0.61,8.25
2023-12-31,4.27,$-0.13,0.0
2023-09-30,2.9,$0.26,10.96
2023-06-30,3.35,$-0.14,0.0
2023-03-31,3.62,$0.02,166.97
2022-12-31,3.5,$0.57,6.08
2022-09-30,2.11,$0.02,86.98
2022-06-30,3.24,$0.50,6.5
2022-03-31,4.6,$1.01,4.54
2021-12-31,5.8,$0.67,8.71
2021-09-30,6.27,$0.56,11.18
2021-06-30,7.57,$1.00,7.54
2024-03-31,4.26,$1.28,3.32
2021-03-31,7.07,$2.16,3.27
2020-12-31,5.26,$1.49,3.53
2020-09-30,4.49,$1.19,3.77
2020-06-30,2.18,$0.74,2.97
2020-03-31,1.68,$-0.03,0.0
2019-12-31,3.27,$0.74,4.45
2019-09-30,3.67,$0.79,4.63
2019-06-30,3.39,$0.85,3.97
2019-03-31,5.39,$1.11,4.86
2018-12-31,4.6,$1.10,4.19
2018-09-30,5.38,$1.45,3.72
2018-06-30,6.37,$1.61,3.95
2018-03-31,7.92,$1.38,5.76
2017-12-31,8.01,$1.79,4.47
2017-09-30,9.85,$1.97,4.99
2017-06-30,10.46,$1.90,5.5
2017-03-31,8.97,$2.39,3.75
2016-12-31,10.25,$1.88,5.46
2016-09-30,12.1,$1.80,6.71
2016-06-30,11.74,$1.85,6.35
2016-03-31,14.06,$1.85,7.58
2015-12-31,13.34,$2.03,6.56
2015-09-30,12.71,$2.27,5.61
2015-06-30,13.21,$2.05,6.44
2015-03-31,14.68,$2.25,6.51
2014-12-31,15.21,$2.33,6.53
2014-09-30,15.48,$1.83,8.44
2014-06-30,16.99,$2.41,7.06
2014-03-31,15.88,$2.31,6.87
2013-12-31,14.13,$2.40,5.88
2013-09-30,10.94,$2.95,3.71
2013-06-30,8.74,$2.17,4.03
2013-03-31,8.74,$2.76,3.17
2012-12-31,6.09,$2.40,2.54
2012-09-30,7.65,$2.21,3.46
2012-06-30,8.07,$3.42,2.36
2012-03-31,9.24,$2.77,3.34
2011-12-31,9.55,$3.94,2.42
2011-09-30,9.5,$4.34,2.19
2011-06-30,11.38,$4.04,2.82
2011-03-31,12.53,$4.00,3.14
2010-12-31,11.63,$4.03,2.89
2010-09-30,10.12,$3.04,3.32
2010-06-30,10.2,$3.03,3.37
2010-03-31,11.19,$3.38,3.31
2009-12-31,10.26,$3.17,3.23
