Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data,Dorian LPG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.98,,4.0
2024-06-30,40.83,$8.25,4.95
2024-03-31,36.56,$8.79,4.16
2023-12-31,40.56,$6.57,6.18
2023-09-30,25.69,$5.89,4.37
2023-06-30,22.14,$4.74,4.67
2023-03-31,16.43,$3.86,4.26
2022-12-31,14.94,$4.74,3.15
2022-09-30,10.16,$3.85,2.64
2022-06-30,10.69,$4.55,2.35
2022-03-31,8.76,$4.61,1.9
2021-12-31,7.14,$4.42,1.61
2021-09-30,6.98,$4.86,1.44
2021-06-30,7.35,$2.95,2.5
2021-03-31,6.84,$3.23,2.12
2020-12-31,6.35,$2.50,2.54
2020-09-30,4.17,$2.69,1.55
2020-06-30,4.03,$3.60,1.12
2020-03-31,4.54,$2.75,1.65
2019-12-31,8.06,$2.03,3.98
2019-09-30,5.4,$1.31,4.11
2019-06-30,4.7,$0.42,11.31
2019-03-31,3.34,$0.09,37.49
2018-12-31,3.04,$0.17,17.7
2018-09-30,4.15,$0.27,15.4
2018-06-30,3.98,$0.63,6.31
2018-03-31,3.9,$1.05,3.71
2017-12-31,4.28,$0.80,5.37
2017-09-30,3.55,$0.71,4.98
2017-06-30,4.26,$0.63,6.74
2017-03-31,5.48,$0.93,5.91
2016-12-31,4.28,$1.16,3.67
2016-09-30,3.12,$-4.73,0.0
2016-06-30,3.67,$-9.28,0.0
2016-03-31,4.9,$-13.08,0.0
2015-12-31,6.13,$-13.73,0.0
2015-09-30,5.37,$-9.60,0.0
2015-06-30,8.69,$-7.34,0.0
2015-03-31,6.79,$-5.14,0.0
