Dream Finders Homes Price to Free Cash Flow Ratio Historical Data,Dream Finders Homes Price to Free Cash Flow Ratio Historical Data,Dream Finders Homes Price to Free Cash Flow Ratio Historical Data,Dream Finders Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.75,,0.0
2024-06-30,25.82,$-0.74,0.0
2024-03-31,43.73,$1.33,32.87
2023-12-31,35.53,$3.49,10.19
2023-09-30,22.23,$3.80,5.85
2023-06-30,24.59,$2.39,10.3
2023-03-31,13.25,$0.56,23.86
2022-12-31,8.66,$-0.31,0.0
2022-09-30,10.6,$-0.68,0.0
2022-06-30,10.64,$-0.41,0.0
2022-03-31,17.08,$-0.30,0.0
2021-12-31,19.45,$0.66,29.56
