Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,30.76,,10.3
2024-07-31,36.54,$2.99,12.23
2024-04-30,45.17,$3.21,14.07
2024-01-31,42.24,$2.86,14.75
2023-10-31,29.16,$3.34,8.74
2023-07-31,36.25,$3.41,10.64
2023-04-30,34.15,$3.38,10.1
2023-01-31,44.55,$3.50,12.72
2022-10-31,32.16,$3.11,10.34
2022-07-31,34.07,$2.93,11.62
2022-04-30,50.44,$3.95,12.77
2022-01-31,53.27,$4.69,11.36
2021-10-31,65.52,$5.36,12.21
2021-07-31,75.76,$7.21,10.51
2021-04-30,62.21,$8.46,7.35
2021-01-31,38.48,$6.38,6.03
2020-10-31,30.22,$6.35,4.76
2020-07-31,23.04,$3.69,6.24
2020-04-30,11.22,$2.09,5.38
2020-01-31,21.59,$2.81,7.67
2019-10-31,15.61,$2.93,5.33
2019-07-31,23.41,$2.86,8.18
2019-04-30,22.83,$2.82,8.09
2019-01-31,24.51,$2.68,9.14
2018-10-31,27.97,$2.06,13.58
2018-07-31,26.76,$2.48,10.78
2018-04-30,28.98,$2.13,13.58
2018-01-31,41.07,$2.44,16.86
2017-10-31,34.86,$3.43,10.17
2017-07-31,36.99,$3.06,12.09
2017-04-30,41.62,$3.86,10.79
2017-01-31,46.97,$3.62,12.98
2016-10-31,55.82,$4.10,13.62
2016-07-31,56.69,$4.56,12.42
2016-04-30,59.53,$5.22,11.41
2016-01-31,70.86,$5.04,14.07
2015-10-31,70.35,$3.83,18.39
2015-07-31,58.81,$4.91,11.98
2015-04-30,64.73,$2.63,24.6
2015-01-31,59.65,$7.59,7.86
2014-10-31,50.61,$1.26,40.22
2014-04-30,37.61,$1.99,18.91
2014-01-31,35.45,$1.88,18.84
2013-10-31,42.0,$1.87,22.51
2013-07-31,37.23,$2.89,12.88
2013-04-30,33.45,$2.72,12.31
2013-01-31,31.65,$2.57,12.32
2012-10-31,29.57,$2.05,14.41
2012-07-31,28.61,$2.06,13.87
2012-04-30,29.73,$1.91,15.61
2012-01-31,24.91,$2.68,9.31
2011-10-31,24.11,$2.59,9.31
2011-07-31,21.25,$3.01,7.07
2011-04-30,22.35,$3.06,7.31
2011-01-31,15.78,$3.03,5.2
2010-10-31,14.43,$2.71,5.31
2010-07-31,12.51,$2.74,4.56
2010-04-30,13.0,$3.18,4.08
2010-01-31,8.8,$2.97,2.96
2009-10-31,8.07,$0.99,8.14
2009-07-31,5.88,$1.86,3.16
