Innoviva Price to Free Cash Flow Ratio Historical Data,Innoviva Price to Free Cash Flow Ratio Historical Data,Innoviva Price to Free Cash Flow Ratio Historical Data,Innoviva Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.17,,10.41
2024-06-30,16.4,$1.94,8.46
2024-03-31,15.24,$1.77,8.6
2023-12-31,16.04,$1.62,9.91
2023-09-30,12.99,$1.35,9.6
2023-06-30,12.73,$1.24,10.26
2023-03-31,11.25,$1.36,8.29
2022-12-31,13.25,$2.12,6.26
2022-09-30,11.61,$2.62,4.43
2022-06-30,14.76,$4.03,3.66
2022-03-31,19.35,$4.16,4.65
2021-12-31,17.25,$3.86,4.47
2021-09-30,16.71,$4.00,4.18
2021-06-30,13.41,$3.08,4.35
2021-03-31,11.95,$2.85,4.19
2020-12-31,12.39,$2.76,4.49
2020-09-30,10.45,$2.60,4.03
2020-06-30,13.98,$2.45,5.72
2020-03-31,11.76,$2.24,5.25
2019-12-31,14.16,$2.27,6.24
2019-09-30,10.54,$2.22,4.74
2019-06-30,14.56,$2.25,6.47
2019-03-31,14.03,$2.21,6.36
2018-12-31,17.45,$1.97,8.85
2018-09-30,15.24,$1.83,8.35
2018-06-30,13.8,$1.66,8.31
2018-03-31,16.67,$1.39,11.98
2017-12-31,14.19,$1.18,12.0
2017-09-30,14.12,$0.95,14.84
2017-06-30,12.8,$0.75,17.01
2017-03-31,13.83,$0.66,20.98
2016-12-31,10.7,$0.49,21.72
