Synaptics Price to Free Cash Flow Ratio Historical Data,Synaptics Price to Free Cash Flow Ratio Historical Data,Synaptics Price to Free Cash Flow Ratio Historical Data,Synaptics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,72.7,,28.27
2024-06-30,88.2,$2.57,34.3
2024-03-31,97.56,$3.32,29.36
2023-12-31,114.08,$6.30,18.1
2023-09-30,89.44,$6.62,13.52
2023-06-30,85.38,$7.40,11.54
2023-03-31,111.15,$8.90,12.49
2022-12-31,95.16,$10.68,8.91
2022-09-30,99.01,$12.43,7.96
2022-06-30,118.05,$11.98,9.86
2022-03-31,199.5,$10.99,18.15
2021-12-31,289.51,$9.16,31.6
2021-09-30,179.73,$9.03,19.91
2021-06-30,155.58,$7.78,19.99
2021-03-31,135.42,$10.50,12.9
2020-12-31,96.4,$9.38,10.28
2020-09-30,80.42,$8.71,9.24
2020-06-30,60.12,$9.89,6.08
2020-03-31,57.87,$5.59,10.36
2019-12-31,65.77,$5.53,11.89
2019-09-30,39.95,$5.09,7.85
2019-06-30,29.14,$3.77,7.73
2019-03-31,39.75,$2.73,14.58
2018-12-31,37.21,$2.28,16.33
2018-09-30,45.62,$2.33,19.55
2018-06-30,50.37,$3.24,15.53
2018-03-31,45.73,$4.38,10.45
2017-12-31,39.94,$4.97,8.03
2017-09-30,39.18,$4.42,8.86
2017-06-30,51.71,$3.41,15.15
2017-03-31,49.51,$4.97,9.97
2016-12-31,53.58,$4.48,11.97
2016-09-30,58.58,$5.79,10.11
2016-06-30,53.75,$6.02,8.93
2016-03-31,79.74,$3.76,21.23
2015-12-31,80.34,$6.08,13.21
2015-09-30,82.53,$2.93,28.12
2015-06-30,86.74,$3.91,22.17
2015-03-31,81.31,$4.28,19.01
2014-12-31,68.84,$0.87,79.57
2014-09-30,73.2,$3.00,24.36
2014-06-30,90.64,$2.50,36.2
2014-03-31,60.02,$2.42,24.78
2013-12-31,51.81,$3.12,16.61
2013-09-30,44.25,$2.08,21.3
2013-06-30,38.56,$1.94,19.92
2013-03-31,40.69,$1.76,23.12
2012-12-31,29.97,$1.77,16.95
2012-09-30,24.02,$2.23,10.77
2012-06-30,28.63,$2.64,10.83
2012-03-31,36.51,$2.70,13.54
2011-12-31,30.15,$2.77,10.89
2011-09-30,23.9,$2.59,9.23
2011-06-30,25.74,$2.20,11.68
2011-03-31,27.02,$2.48,10.88
2010-12-31,29.38,$2.52,11.65
2010-09-30,28.14,$2.62,10.76
2010-06-30,27.5,$2.96,9.28
2010-03-31,27.61,$2.13,12.96
2009-12-31,30.65,$3.51,8.74
