Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Takeda Pharmaceutical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.26,,10.8
2024-06-30,12.94,$1.32,9.8
2024-03-31,13.89,$1.20,11.58
2023-12-31,13.98,$1.34,10.42
2023-09-30,15.16,$1.91,7.93
2023-06-30,15.08,$1.98,7.63
2023-03-31,15.82,$1.97,8.02
2022-12-31,14.7,$2.29,6.42
2022-09-30,12.22,$2.39,5.12
2022-06-30,12.9,$2.53,5.09
2022-03-31,13.16,$2.83,4.66
2021-12-31,12.25,$2.91,4.21
2021-09-30,14.72,$2.67,5.51
2021-06-30,14.76,$2.86,5.16
2021-03-31,16.02,$2.83,5.67
2020-12-31,15.62,$2.23,7.02
2020-09-30,15.31,$1.91,7.99
2020-06-30,15.03,$1.73,8.68
2020-03-31,12.72,$1.63,7.8
2019-12-31,16.11,$2.11,7.64
