ABM Industries Price to Free Cash Flow Ratio Historical Data,ABM Industries Price to Free Cash Flow Ratio Historical Data,ABM Industries Price to Free Cash Flow Ratio Historical Data,ABM Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.33,,15.93
2024-07-31,55.32,$3.41,16.22
2024-04-30,43.31,$2.64,16.4
2023-10-31,38.59,$2.92,13.22
2023-07-31,45.16,$0.92,49.15
2023-04-30,41.33,$-1.37,0.0
2023-01-31,45.3,$-1.28,0.0
2022-10-31,42.78,$-0.79,0.0
2024-01-31,40.22,$-2.15,0.0
2022-07-31,42.89,$-1.28,0.0
2022-04-30,45.96,$-0.41,0.0
2022-01-31,39.53,$2.08,18.99
2021-10-31,41.54,$4.18,9.93
2021-07-31,43.7,$6.33,6.91
2021-04-30,48.12,$6.94,6.93
2021-01-31,34.26,$7.53,4.55
2020-10-31,32.23,$6.32,5.1
2020-07-31,33.16,$5.52,6.01
2020-04-30,31.69,$4.32,7.34
2020-01-31,34.77,$3.20,10.88
2019-10-31,33.08,$3.06,10.83
2019-07-31,37.98,$2.57,14.79
2019-04-30,34.11,$2.86,11.95
2019-01-31,30.57,$2.99,10.23
2018-10-31,27.33,$4.10,6.67
2018-07-31,27.58,$2.03,13.56
2018-04-30,27.36,$0.51,53.96
2018-01-31,33.25,$-0.08,0.0
2017-10-31,36.52,$-0.82,0.0
2017-07-31,38.68,$-0.37,0.0
2017-04-30,37.29,$0.39,96.25
2017-01-31,34.73,$1.01,34.45
2016-10-31,33.46,$0.75,44.49
2016-07-31,31.73,$1.63,19.45
2016-04-30,27.31,$2.39,11.4
2016-01-31,25.36,$2.18,11.65
2015-10-31,23.84,$2.18,10.93
2015-07-31,27.51,$2.39,11.5
2015-04-30,26.62,$1.70,15.67
2015-01-31,23.86,$1.75,13.64
2014-10-31,22.72,$1.53,14.84
2014-07-31,20.11,$1.26,16.01
2014-04-30,22.01,$1.70,12.96
2014-01-31,21.54,$1.28,16.79
2013-10-31,22.11,$1.86,11.91
2013-07-31,20.7,$2.32,8.93
2013-04-30,17.91,$2.07,8.64
2013-01-31,17.29,$2.02,8.57
2012-10-31,14.88,$2.31,6.44
2012-07-31,14.46,$2.43,5.95
2012-04-30,17.96,$2.87,6.26
2012-01-31,16.64,$2.65,6.28
2011-10-31,15.4,$2.57,6.0
2011-07-31,17.01,$2.48,6.87
2011-04-30,18.27,$2.21,8.26
2011-01-31,19.21,$2.63,7.31
2010-10-31,16.76,$2.41,6.96
2010-07-31,16.03,$2.37,6.77
2010-04-30,15.78,$1.87,8.44
2010-01-31,14.16,$1.70,8.33
2009-10-31,13.61,$2.40,5.67
