Energy Fuels Inc Price to Free Cash Flow Ratio Historical Data,Energy Fuels Inc Price to Free Cash Flow Ratio Historical Data,Energy Fuels Inc Price to Free Cash Flow Ratio Historical Data,Energy Fuels Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.64,,0.0
2024-06-30,6.06,$-0.29,0.0
2024-03-31,6.29,$-0.17,0.0
2023-12-31,7.19,$0.12,59.82
2023-09-30,8.22,$0.11,74.39
2023-06-30,6.24,$0.13,47.31
2023-03-31,5.58,$0.08,67.23
2022-12-31,6.21,$-0.29,0.0
2022-09-30,6.12,$-0.23,0.0
2022-06-30,4.91,$-0.21,0.0
2022-03-31,9.15,$-0.20,0.0
2021-12-31,7.63,$-0.19,0.0
2021-09-30,7.02,$-0.20,0.0
2021-06-30,6.05,$-0.23,0.0
2021-03-31,5.68,$-0.26,0.0
2020-12-31,4.26,$-0.27,0.0
2020-09-30,1.68,$-0.33,0.0
2020-06-30,1.51,$-0.38,0.0
2020-03-31,1.18,$-0.42,0.0
2019-12-31,1.91,$-0.46,0.0
2019-09-30,1.93,$-0.46,0.0
2019-06-30,3.13,$-0.38,0.0
2019-03-31,3.33,$-0.06,0.0
2018-12-31,2.85,$-0.09,0.0
2018-09-30,3.28,$-0.07,0.0
2018-06-30,2.27,$-0.05,0.0
2018-03-31,1.74,$-0.17,0.0
2017-12-31,1.79,$-0.15,0.0
2017-09-30,1.6,$-0.06,0.0
2017-06-30,1.59,$-0.16,0.0
2017-03-31,2.17,$-0.17,0.0
2016-12-31,1.64,$-0.22,0.0
2016-09-30,1.59,$-0.38,0.0
2016-06-30,2.27,$-0.37,0.0
2016-03-31,2.21,$-0.13,0.0
2015-12-31,2.95,$-0.14,0.0
2015-09-30,2.91,$-0.13,0.0
2015-06-30,4.45,$-0.17,0.0
2015-03-31,4.55,$-0.54,0.0
2014-12-31,6.19,$-0.27,0.0
2014-09-30,6.75,$-0.75,0.0
2014-03-31,9.0,$-0.62,0.0
2013-12-31,5.7,$-0.56,0.0
2013-09-30,8.08,$-0.52,0.0
2013-06-30,7.19,$-0.02,0.0
