Hertz Global Holdings Price to Free Cash Flow Ratio Historical Data,Hertz Global Holdings Price to Free Cash Flow Ratio Historical Data,Hertz Global Holdings Price to Free Cash Flow Ratio Historical Data,Hertz Global Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.24,,0.0
2024-06-30,3.53,$-2.37,0.0
2024-03-31,7.83,$-2.97,0.0
2023-12-31,10.39,$-4.75,0.0
2023-09-30,12.25,$-7.72,0.0
2023-06-30,18.39,$-8.13,0.0
2023-03-31,16.29,$-5.08,0.0
2022-12-31,15.39,$-4.21,0.0
2022-09-30,16.28,$-40.11,0.0
2022-06-30,15.84,$-17.28,0.0
2022-03-31,22.15,$2.08,10.67
2021-12-31,24.99,$-8.21,0.0
2020-09-30,1.11,$40.14,0.03
2020-06-30,1.41,$30.45,0.05
2020-03-31,6.18,$-11.35,0.0
2019-12-31,15.75,$-13.03,0.0
2019-09-30,13.84,$-12.58,0.0
2019-06-30,15.96,$-23.58,0.0
2019-03-31,17.37,$-13.62,0.0
2018-12-31,13.65,$-16.78,0.0
2018-09-30,16.33,$-98.22,0.0
2018-06-30,15.34,$-96.18,0.0
2018-03-31,19.85,$-99.64,0.0
2017-12-31,22.1,$-87.94,0.0
2017-09-30,22.36,$-11.94,0.0
2017-06-30,11.5,$-7.63,0.0
2017-03-31,17.54,$-0.10,0.0
2016-12-31,21.56,$3.11,6.94
2016-09-30,40.16,$-22.87,0.0
2016-06-30,55.35,$-32.55,0.0
2016-03-31,52.65,$-29.40,0.0
2015-06-30,90.6,$-26.70,0.0
