IDT Price to Free Cash Flow Ratio Historical Data,IDT Price to Free Cash Flow Ratio Historical Data,IDT Price to Free Cash Flow Ratio Historical Data,IDT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.15,,20.2
2024-07-31,38.18,$2.33,16.36
2024-04-30,35.45,$2.16,16.39
2024-01-31,34.44,$1.50,23.02
2023-10-31,27.94,$1.16,24.0
2023-07-31,23.63,$1.26,18.78
2023-04-30,33.08,$0.80,41.33
2023-01-31,29.27,$1.17,25.12
2022-10-31,25.96,$1.19,21.76
2022-07-31,25.93,$0.29,90.78
2022-04-30,26.37,$0.95,27.8
2022-01-31,37.38,$1.36,27.46
2021-10-31,48.18,$0.97,49.91
2021-07-31,49.6,$1.91,25.92
2021-04-30,23.91,$2.33,10.26
2021-01-31,13.97,$0.10,144.21
2020-10-31,9.49,$-0.84,0.0
2020-07-31,6.48,$-1.73,0.0
2020-04-30,5.38,$-1.77,0.0
2020-01-31,7.53,$0.30,24.97
2019-10-31,6.78,$2.13,3.18
2019-07-31,10.12,$2.63,3.85
2019-04-30,7.09,$1.88,3.78
2019-01-31,7.15,$2.53,2.82
2018-10-31,7.01,$2.21,3.18
2018-07-31,5.23,$-0.01,0.0
2018-04-30,5.33,$0.68,7.84
2018-01-31,9.04,$-0.82,0.0
2017-10-31,10.76,$-1.49,0.0
2017-07-31,11.92,$0.94,12.62
2017-04-30,12.07,$-0.07,0.0
2016-10-31,13.86,$0.98,14.2
2016-07-31,11.7,$1.34,8.7
2016-04-30,9.83,$1.54,6.37
2016-01-31,8.04,$0.57,14.06
2015-10-31,8.06,$0.15,53.53
2015-07-31,10.46,$-0.01,0.0
2017-01-31,15.03,$-0.49,0.0
2015-04-30,10.37,$0.73,14.27
2015-01-31,12.88,$1.51,8.54
2014-10-31,9.18,$1.04,8.87
2014-07-31,8.6,$1.26,6.81
2014-04-30,8.65,$1.17,7.37
2014-01-31,9.19,$1.10,8.36
2013-10-31,11.72,$1.16,10.12
2013-07-31,9.45,$0.85,11.17
2013-04-30,6.76,$1.39,4.87
2013-01-31,4.67,$1.62,2.89
2012-07-31,4.35,$1.07,4.05
2012-04-30,3.57,$1.96,1.82
2012-01-31,3.68,$1.75,2.1
2011-10-31,4.74,$1.30,3.66
2011-07-31,5.51,$3.11,1.77
2012-10-31,4.4,$2.24,1.97
2011-04-30,6.6,$1.06,6.22
2011-01-31,5.24,$2.05,2.56
2010-10-31,3.31,$1.48,2.23
2010-07-31,4.17,$1.69,2.47
2010-04-30,2.23,$2.13,1.05
2010-01-31,1.0,$0.12,8.31
2009-10-31,0.88,$-4.67,0.0
