BridgeBio Pharma Price to Free Cash Flow Ratio Historical Data,BridgeBio Pharma Price to Free Cash Flow Ratio Historical Data,BridgeBio Pharma Price to Free Cash Flow Ratio Historical Data,BridgeBio Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.19,,0.0
2024-06-30,25.33,$-2.42,0.0
2024-03-31,30.92,$-3.54,0.0
2023-12-31,40.37,$-3.25,0.0
2023-09-30,26.37,$-3.12,0.0
2023-06-30,17.2,$-3.16,0.0
2023-03-31,16.58,$-2.72,0.0
2022-12-31,7.62,$-2.88,0.0
2022-09-30,9.94,$-3.22,0.0
2022-06-30,9.08,$-3.18,0.0
2022-03-31,10.15,$-3.55,0.0
2021-12-31,16.68,$-3.54,0.0
2021-09-30,46.87,$-3.39,0.0
2021-06-30,60.96,$-3.62,0.0
2021-03-31,61.6,$-3.80,0.0
2020-12-31,71.11,$-3.45,0.0
2020-09-30,37.52,$-3.67,0.0
2020-06-30,32.61,$-2.42,0.0
2020-03-31,29.0,$-3.19,0.0
