Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data,Perdoceo Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.41,,10.7
2024-06-30,21.3,$2.00,10.65
2024-03-31,17.37,$2.32,7.5
2023-12-31,17.27,$1.56,11.09
2023-09-30,16.71,$1.93,8.67
2023-06-30,11.91,$2.18,5.46
2023-03-31,13.04,$1.75,7.44
2022-12-31,13.49,$1.96,6.87
2022-09-30,10.0,$2.06,4.86
2022-06-30,11.44,$2.13,5.37
2022-03-31,11.14,$2.19,5.09
2021-12-31,11.42,$2.55,4.48
2021-09-30,10.25,$2.48,4.13
2021-06-30,11.91,$2.06,5.78
2021-03-31,11.61,$2.06,5.64
2020-12-31,12.26,$1.25,9.82
2020-09-30,11.88,$1.09,10.87
2020-06-30,15.46,$1.26,12.24
2019-12-31,17.85,$0.94,18.95
2019-09-30,15.42,$1.23,12.52
2019-06-30,18.51,$1.44,12.81
2019-03-31,16.04,$0.91,17.64
2018-12-31,11.09,$0.77,14.47
2020-03-31,10.47,$0.81,12.93
2018-09-30,14.49,$0.25,57.74
2018-06-30,15.7,$0.33,48.18
2018-03-31,12.76,$-0.27,0.0
2017-12-31,11.73,$-0.56,0.0
2017-09-30,10.09,$-0.49,0.0
2017-03-31,8.45,$-0.37,0.0
2016-12-31,9.79,$0.03,285.55
2016-09-30,6.59,$0.10,66.78
2016-06-30,5.78,$0.05,115.98
2016-03-31,4.41,$-0.29,0.0
2015-12-31,3.52,$-0.48,0.0
2015-09-30,3.65,$-0.69,0.0
2015-06-30,3.2,$-1.11,0.0
2015-03-31,4.88,$-1.73,0.0
2014-12-31,6.76,$-1.96,0.0
2014-09-30,4.93,$0.52,9.51
2014-06-30,4.54,$0.61,7.5
2014-03-31,7.24,$0.46,15.66
2013-12-31,5.53,$0.77,7.21
2013-09-30,2.67,$-2.29,0.0
2013-06-30,2.82,$-1.93,0.0
2013-03-31,2.3,$-1.18,0.0
2012-12-31,3.41,$-0.83,0.0
2012-09-30,3.65,$0.17,21.51
2012-06-30,6.49,$1.11,5.87
2012-03-31,7.82,$1.65,4.73
2011-12-31,7.74,$2.13,3.64
2011-09-30,12.67,$2.10,6.04
2011-06-30,20.53,$2.70,7.6
2011-03-31,22.05,$1.94,11.39
2010-12-31,20.12,$1.79,11.22
2010-09-30,20.84,$2.18,9.56
2010-06-30,22.35,$2.29,9.75
2010-03-31,30.71,$2.51,12.24
2009-12-31,22.63,$2.48,9.13
2009-09-30,23.6,$1.48,15.91
