MFA Financial Price to Free Cash Flow Ratio Historical Data,MFA Financial Price to Free Cash Flow Ratio Historical Data,MFA Financial Price to Free Cash Flow Ratio Historical Data,MFA Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.64,,5.5
2024-06-30,10.35,$2.30,4.5
2024-03-31,10.75,$2.66,4.04
2023-12-31,10.29,$2.16,4.76
2023-09-30,8.52,$2.22,3.83
2023-06-30,9.61,$3.16,3.04
2023-03-31,8.22,$3.36,2.45
2022-12-31,7.88,$4.74,1.66
2022-09-30,6.01,$5.59,1.08
2022-06-30,7.88,$4.33,1.82
2022-03-31,11.36,$3.78,3.0
2021-12-31,12.52,$2.74,4.57
2021-09-30,12.25,$2.44,5.02
2021-06-30,12.04,$2.61,4.62
2021-03-31,10.45,$2.74,3.81
2020-12-31,9.81,$2.68,3.66
2020-09-30,6.63,$2.62,2.53
2020-06-30,6.05,$2.79,2.17
2020-03-31,3.76,$2.62,1.44
2019-12-31,16.42,$2.58,6.36
2019-09-30,15.39,$2.64,5.84
2019-06-30,14.62,$2.60,5.62
2019-03-31,14.4,$2.69,5.35
2018-12-31,12.88,$2.43,5.3
2018-09-30,13.76,$2.43,5.67
2018-06-30,13.82,$2.04,6.77
2018-03-31,13.37,$2.03,6.59
2017-12-31,13.7,$2.38,5.74
2017-09-30,14.78,$2.54,5.81
2017-06-30,13.84,$3.02,4.59
2017-03-31,13.01,$2.36,5.52
2016-12-31,11.99,$2.26,5.29
2016-09-30,11.45,$2.61,4.39
2016-06-30,10.84,$2.25,4.82
2016-03-31,9.93,$2.95,3.37
2015-12-31,9.29,$3.02,3.08
2015-09-30,9.31,$2.55,3.65
2015-06-30,9.82,$2.84,3.46
2015-03-31,10.18,$2.79,3.64
2014-12-31,10.09,$2.76,3.65
2014-09-30,9.59,$2.71,3.54
2014-06-30,9.87,$2.97,3.32
2014-03-31,9.09,$3.02,3.01
2013-12-31,8.07,$3.29,2.46
2013-09-30,8.03,$3.37,2.39
2013-06-30,8.55,$3.24,2.64
2013-03-31,9.21,$3.37,2.73
2012-12-31,7.22,$3.48,2.08
2012-09-30,7.2,$3.90,1.85
2012-06-30,6.1,$4.06,1.5
2012-03-31,5.59,$4.09,1.37
2011-12-31,5.03,$4.02,1.25
2011-09-30,4.87,$3.56,1.36
2011-06-30,5.4,$3.54,1.53
2011-03-31,5.35,$3.46,1.55
2010-12-31,5.32,$3.49,1.52
2010-09-30,4.7,$4.11,1.14
2010-06-30,4.44,$3.91,1.14
2010-03-31,4.27,$4.32,0.99
2009-12-31,4.27,$4.37,0.98
