Xenia Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Xenia Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Xenia Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Xenia Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.99,,66.15
2024-06-30,14.21,$0.23,62.73
2024-03-31,14.77,$0.46,32.1
2023-12-31,13.29,$0.71,18.68
2023-09-30,11.41,$1.46,7.81
2023-06-30,11.83,$1.78,6.66
2023-03-31,12.48,$1.79,6.95
2022-12-31,12.46,$-0.74,0.0
2022-09-30,12.94,$-1.53,0.0
2022-06-30,13.54,$-1.73,0.0
2022-03-31,17.97,$-1.91,0.0
2021-12-31,16.87,$0.12,140.6
2021-09-30,16.53,$2.51,6.57
2021-06-30,17.45,$2.25,7.76
2021-03-31,18.17,$1.32,13.74
2020-12-31,14.16,$1.53,9.26
2020-09-30,8.18,$-1.95,0.0
2020-06-30,8.69,$-1.43,0.0
2020-03-31,9.6,$-0.10,0.0
2019-12-31,19.59,$0.21,93.4
2019-09-30,18.9,$1.62,11.64
2019-06-30,18.42,$0.26,69.57
2019-03-31,19.11,$0.02,1232.77
2018-12-31,14.82,$1.85,8.0
2018-09-30,20.09,$-2.15,0.0
2018-06-30,20.41,$-0.71,0.0
2018-03-31,16.34,$-0.75,0.0
2017-12-31,17.65,$-2.57,0.0
2017-09-30,16.99,$2.46,6.9
2017-06-30,15.44,$2.37,6.52
2017-03-31,13.42,$3.78,3.55
2016-12-31,15.02,$3.05,4.92
2016-09-30,11.57,$3.19,3.63
2016-06-30,12.56,$1.09,11.53
2016-03-31,11.5,$-0.36,0.0
2015-12-31,11.08,$0.06,176.5
