Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,38.99,,13.1
2024-06-30,44.02,$2.98,14.79
2024-03-31,51.22,$3.22,15.89
2023-12-31,48.56,$2.89,16.79
2023-09-30,45.05,$1.67,26.95
2023-06-30,56.8,$0.59,96.64
2023-03-31,56.27,$-0.89,0.0
2022-12-31,47.08,$-2.08,0.0
2022-09-30,36.75,$-1.86,0.0
2022-06-30,32.9,$-2.01,0.0
2022-03-31,38.07,$-1.60,0.0
2021-12-31,36.86,$-1.39,0.0
2021-09-30,35.85,$-1.52,0.0
2021-06-30,51.6,$-1.79,0.0
2021-03-31,59.51,$-2.90,0.0
2020-12-31,58.37,$-3.16,0.0
2020-09-30,45.7,$-1.96,0.0
2020-06-30,44.6,$-0.34,0.0
2020-03-31,41.59,$0.69,60.53
2019-12-31,66.33,$2.32,28.57
2019-09-30,54.88,$2.61,21.06
2019-06-30,55.42,$2.72,20.4
2019-03-31,56.44,$4.07,13.85
2018-12-31,47.57,$4.80,9.92
2018-09-30,53.47,$4.92,10.87
2018-06-30,67.97,$5.17,13.15
2018-03-31,63.4,$5.21,12.16
2017-12-31,60.65,$4.70,12.91
2017-09-30,55.43,$4.48,12.37
2017-06-30,54.57,$4.15,13.14
2017-03-31,48.2,$3.72,12.97
2016-12-31,44.53,$3.33,13.35
2016-09-30,47.35,$2.93,16.14
2016-06-30,35.33,$2.71,13.06
2016-03-31,41.32,$2.54,16.28
2015-12-31,34.59,$2.42,14.28
2015-09-30,29.49,$2.68,11.01
2015-06-30,40.26,$3.30,12.2
2015-03-31,41.65,$3.91,10.66
2014-12-31,43.51,$4.52,9.61
2014-09-30,46.1,$4.74,9.73
2014-06-30,56.04,$4.66,12.03
2014-03-31,59.0,$4.57,12.91
2013-12-31,57.25,$4.32,13.24
2013-09-30,48.0,$3.71,12.96
2013-06-30,38.05,$3.10,12.28
2013-03-31,40.26,$2.46,16.38
2012-12-31,32.76,$1.95,16.76
2012-09-30,30.8,$1.73,17.77
2012-06-30,28.73,$1.81,15.9
2012-03-31,37.83,$1.65,22.94
2011-12-31,27.95,$1.43,19.56
2011-09-30,25.08,$1.46,17.13
2011-06-30,27.61,$1.05,26.27
2011-03-31,27.62,$0.36,76.4
2010-12-31,30.06,$-0.13,0.0
2010-09-30,22.8,$-1.24,0.0
2010-06-30,14.48,$-1.86,0.0
2010-03-31,13.84,$-2.01,0.0
2009-12-31,9.77,$-2.21,0.0
