Baidu Price to Free Cash Flow Ratio Historical Data,Baidu Price to Free Cash Flow Ratio Historical Data,Baidu Price to Free Cash Flow Ratio Historical Data,Baidu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,92.11,,9.12
2023-12-31,119.09,$10.10,11.79
2023-09-30,134.35,$7.38,18.19
2023-06-30,136.91,$7.38,18.54
2023-03-31,150.92,$6.53,23.11
2022-12-31,114.38,$7.38,15.49
2022-09-30,117.49,$4.12,28.54
2022-06-30,148.73,$4.12,36.13
2022-03-31,132.3,$4.97,26.62
2021-12-31,148.79,$2.31,64.48
2024-06-30,86.48,0,0.0
2021-09-30,153.75,$8.51,18.08
2021-06-30,203.9,$4.82,42.31
2021-03-31,217.55,$10.31,21.09
2020-12-31,216.24,$8.51,25.42
2020-09-30,126.59,$9.07,13.95
2020-06-30,119.89,$12.76,9.4
2020-03-31,100.79,$9.07,11.11
2019-12-31,126.4,$9.07,13.93
2024-03-31,105.28,0,0.0
2019-09-30,102.76,$11.23,9.15
2019-06-30,117.36,$11.23,10.46
2019-03-31,164.85,$11.23,14.69
2018-12-31,158.6,$11.23,14.13
2018-09-30,228.68,$12.35,18.51
2018-06-30,243.0,$12.35,19.67
2018-03-31,223.19,$19.85,11.24
2017-12-31,234.21,$19.85,11.8
2017-03-31,172.52,$7.50,23.0
2016-12-31,164.41,$7.50,21.92
2016-09-30,182.07,0,0.0
2016-06-30,165.15,$-4.43,0.0
2016-03-31,190.88,0,0.0
2015-09-30,137.53,$-3.48,0.0
2015-06-30,199.08,0,0.0
2012-12-31,100.29,$4.43,22.62
2017-09-30,247.69,0,0.0
2012-09-30,116.89,$6.32,18.49
2012-06-30,114.98,$2.85,40.41
2012-03-31,145.77,$2.85,51.23
2011-12-31,116.47,$2.85,40.93
2011-09-30,106.91,$1.65,64.79
2011-06-30,140.13,$1.65,84.93
2011-03-31,137.81,$2.44,56.57
2010-12-31,96.53,$2.44,39.63
2010-03-31,59.7,$0.79,75.95
2009-12-31,41.12,$0.79,52.32
2009-09-30,39.11,0,0.0
2009-06-30,30.11,0,0.0
2009-03-31,17.66,0,0.0
