Catalent Price to Free Cash Flow Ratio Historical Data,Catalent Price to Free Cash Flow Ratio Historical Data,Catalent Price to Free Cash Flow Ratio Historical Data,Catalent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,60.96,,0.0
2024-03-31,56.45,$-0.67,0.0
2023-12-31,44.93,$-1.18,0.0
2023-09-30,45.53,$-2.58,0.0
2023-06-30,43.36,$-2.67,0.0
2023-03-31,65.71,$-3.14,0.0
2022-09-30,72.36,$-2.59,0.0
2022-06-30,107.29,$-1.24,0.0
2022-03-31,110.9,$-0.75,0.0
2021-12-31,128.03,$-0.59,0.0
2021-09-30,133.07,$-0.76,0.0
2021-06-30,108.12,$-1.49,0.0
2022-12-31,45.01,$-1.04,0.0
2021-03-31,105.31,$-1.09,0.0
2020-12-31,104.07,$-0.81,0.0
2020-09-30,85.66,$0.16,533.71
2020-06-30,73.3,$-0.17,0.0
2020-03-31,51.95,$-0.23,0.0
2019-12-31,56.3,$0.15,380.92
2019-09-30,47.66,$-0.14,0.0
2019-06-30,54.21,$0.21,255.35
2019-03-31,40.59,$0.56,72.69
2018-12-31,31.18,$0.81,38.58
2018-09-30,45.55,$1.20,37.97
2018-06-30,41.89,$1.50,27.93
2018-03-31,41.06,$1.53,26.83
2017-12-31,41.08,$1.82,22.62
2017-09-30,39.92,$1.59,25.16
2017-06-30,35.1,$1.30,27.06
2017-03-31,28.32,$1.11,25.47
2016-09-30,25.84,$0.21,122.87
2016-06-30,22.99,$0.14,164.45
2016-03-31,26.67,$0.02,1320.3
2015-12-31,25.03,$0.28,90.26
2015-09-30,24.3,$0.91,26.72
2015-06-30,29.33,$0.93,31.65
2016-12-31,26.96,$0.34,78.9
