StoneCo Price to Free Cash Flow Ratio Historical Data,StoneCo Price to Free Cash Flow Ratio Historical Data,StoneCo Price to Free Cash Flow Ratio Historical Data,StoneCo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.97,,0.0
2024-06-30,11.99,$-2.47,0.0
2024-03-31,16.61,$-1.61,0.0
2023-12-31,18.03,$0.57,31.51
2023-09-30,10.67,$1.13,9.44
2023-06-30,12.74,$0.87,14.58
2023-03-31,9.54,$0.89,10.75
2022-12-31,9.44,$0.80,11.76
2022-09-30,9.53,$0.62,15.3
2022-06-30,7.7,$1.88,4.1
2022-03-31,11.7,$2.17,5.4
2021-12-31,16.86,$1.51,11.14
2021-09-30,34.72,$1.61,21.63
2021-06-30,67.06,$-0.63,0.0
2021-03-31,61.22,$-0.67,0.0
2020-12-31,83.92,$-0.20,0.0
2020-09-30,52.89,$-0.94,0.0
2020-06-30,38.76,$0.26,149.94
2020-03-31,21.77,$-2.13,0.0
2019-12-31,39.89,$-2.68,0.0
2019-09-30,34.78,$-4.90,0.0
