N-able Price to Free Cash Flow Ratio Historical Data,N-able Price to Free Cash Flow Ratio Historical Data,N-able Price to Free Cash Flow Ratio Historical Data,N-able Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.48,,30.35
2024-06-30,15.23,$0.41,37.04
2024-03-31,13.07,$0.37,34.87
2023-12-31,13.25,$0.41,32.29
2023-09-30,12.9,$0.34,37.53
2023-06-30,14.41,$0.29,50.4
2023-03-31,13.2,$0.30,43.32
2022-12-31,10.28,$0.32,31.82
2022-09-30,9.23,$0.29,32.07
2022-06-30,9.0,$0.26,35.21
