Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.9,,13.65
2024-06-30,80.81,$7.68,10.52
2024-03-31,70.66,$7.25,9.75
2023-12-31,64.44,$8.00,8.05
2023-09-30,46.78,$7.07,6.62
2023-06-30,57.69,$5.08,11.36
2023-03-31,36.07,$4.45,8.1
2022-12-31,31.9,$2.65,12.02
2022-09-30,27.63,$1.72,16.05
2022-06-30,21.2,$0.63,33.63
2022-03-31,20.65,$-1.16,0.0
2021-12-31,14.69,$0.21,71.06
2021-09-30,14.14,$1.28,11.08
2021-06-30,13.78,$2.68,5.14
2021-03-31,18.03,$3.70,4.87
2020-12-31,12.8,$3.62,3.54
2020-09-30,11.23,$2.77,4.06
2020-06-30,9.54,$2.12,4.51
2020-03-31,7.15,$2.87,2.49
2019-12-31,15.25,$1.66,9.2
2019-09-30,12.84,$1.60,8.03
2019-06-30,14.15,$0.93,15.19
2019-03-31,19.83,$-0.67,0.0
2018-12-31,12.67,$-0.12,0.0
2018-09-30,19.8,$0.23,84.41
2018-06-30,19.14,$1.31,14.57
2018-03-31,15.54,$-1.71,0.0
2017-12-31,19.87,$-0.48,0.0
2017-09-30,24.71,$-0.19,0.0
2017-06-30,18.76,$-0.82,0.0
2016-12-31,22.82,$3.04,7.51
2016-09-30,18.12,$6.81,2.66
2016-06-30,14.04,$5.78,2.43
2016-03-31,12.17,$6.87,1.77
2015-12-31,13.02,$6.64,1.96
2017-03-31,20.49,$2.92,7.01
2015-09-30,14.61,$3.05,4.78
2015-06-30,17.12,$1.83,9.38
2015-03-31,16.09,$2.24,7.19
2014-12-31,21.04,$1.16,18.21
2014-09-30,21.22,$1.41,15.03
2014-06-30,21.46,$1.78,12.03
2014-03-31,16.8,$0.33,51.28
2013-12-31,16.84,$0.33,51.45
2013-09-30,14.96,$0.30,49.15
2013-06-30,12.04,$0.16,73.86
2013-03-31,11.81,$0.54,21.96
2012-12-31,14.72,$0.60,24.61
2012-09-30,14.86,$1.08,13.78
2012-06-30,15.35,$0.86,17.8
2012-03-31,16.38,$1.67,9.83
2011-12-31,17.85,$2.36,7.58
2011-09-30,14.19,$2.34,6.06
2011-06-30,19.42,$2.23,8.71
2011-03-31,20.02,$1.57,12.78
2010-12-31,20.99,$0.50,42.14
2010-09-30,17.39,$-0.51,0.0
2010-06-30,13.74,$0.21,64.47
2010-03-31,15.29,$0.76,20.01
2009-12-31,15.99,$2.55,6.27
