Valley National Bancorp Price to Free Cash Flow Ratio Historical Data,Valley National Bancorp Price to Free Cash Flow Ratio Historical Data,Valley National Bancorp Price to Free Cash Flow Ratio Historical Data,Valley National Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.51,,12.23
2024-06-30,6.89,$0.78,8.86
2024-03-31,7.73,$1.39,5.57
2023-12-31,10.4,$0.63,16.53
2023-09-30,8.11,$1.66,4.89
2023-06-30,7.26,$1.74,4.17
2023-03-31,8.54,$1.11,7.67
2022-12-31,10.33,$2.81,3.68
2022-09-30,9.77,$2.91,3.35
2022-06-30,9.33,$2.41,3.87
2022-03-31,11.55,$2.34,4.93
2021-12-31,12.1,$1.97,6.15
2021-09-30,11.62,$1.84,6.32
2021-06-30,11.61,$1.52,7.65
2021-03-31,11.79,$0.12,96.93
2020-12-31,8.3,$-0.21,0.0
2020-09-30,5.76,$-0.49,0.0
2020-06-30,6.48,$-0.62,0.0
2019-12-31,9.23,$1.02,9.03
2019-09-30,8.68,$1.75,4.95
2019-06-30,8.52,$1.29,6.63
2019-03-31,7.49,$2.65,2.83
2018-12-31,6.87,$2.05,3.36
2020-03-31,5.98,$1.16,5.14
2018-09-30,8.61,$2.16,3.98
2018-06-30,9.22,$1.63,5.65
2018-03-31,9.36,$2.33,4.02
2017-12-31,8.36,$2.30,3.63
2017-09-30,8.89,$2.66,3.35
2017-06-30,8.63,$2.19,3.93
2017-03-31,8.54,$1.69,5.07
2016-12-31,8.35,$1.64,5.09
2016-09-30,6.92,$0.63,11.0
2016-06-30,6.41,$0.56,11.43
2016-03-31,6.62,$0.58,11.41
2015-12-31,6.76,$0.62,10.95
2015-09-30,6.68,$0.74,9.06
2015-06-30,6.92,$0.91,7.58
2015-03-31,6.27,$1.06,5.92
2014-12-31,6.37,$1.00,6.38
2014-09-30,6.28,$0.91,6.91
2014-06-30,6.36,$1.06,6.0
2014-03-31,6.61,$0.05,120.53
2013-12-31,6.35,$0.31,20.62
2013-09-30,6.18,$0.58,10.69
2013-06-30,5.79,$0.18,32.07
2012-12-31,5.5,$1.57,3.5
2012-09-30,5.82,$1.96,2.98
2012-06-30,6.07,$1.80,3.36
2012-03-31,6.72,$2.00,3.35
2011-12-31,6.34,$1.48,4.28
2013-03-31,6.15,$1.16,5.31
2011-09-30,5.35,$1.74,3.08
2011-06-30,6.78,$1.33,5.09
2011-03-31,6.4,$1.59,4.03
2010-12-31,6.48,$1.51,4.28
2010-09-30,5.78,$0.74,7.79
2010-06-30,6.03,$1.14,5.29
2010-03-31,6.32,$1.09,5.77
2009-12-31,5.74,$0.50,11.57
