Ameris Bancorp Price to Free Cash Flow Ratio Historical Data,Ameris Bancorp Price to Free Cash Flow Ratio Historical Data,Ameris Bancorp Price to Free Cash Flow Ratio Historical Data,Ameris Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.46,,18.1
2024-06-30,50.23,$3.67,13.68
2024-03-31,48.12,$6.41,7.51
2023-12-31,52.6,$8.04,6.55
2023-09-30,37.96,$4.93,7.69
2023-06-30,33.69,$8.06,4.18
2023-03-31,35.87,$11.84,3.03
2022-12-31,46.03,$15.11,3.05
2022-09-30,43.52,$18.96,2.3
2022-06-30,38.98,$11.53,3.38
2022-03-31,42.41,$11.76,3.61
2021-12-31,47.86,$-0.21,0.0
2021-09-30,49.83,$1.98,25.12
2021-06-30,48.49,$10.20,4.75
2021-03-31,50.15,$0.12,406.03
2020-12-31,36.25,$11.25,3.22
2020-09-30,21.61,$-2.42,0.0
2020-06-30,22.23,$-17.18,0.0
2020-03-31,22.25,$-13.09,0.0
2019-12-31,39.58,$-16.14,0.0
2019-09-30,37.31,$-9.08,0.0
2019-06-30,36.2,$-0.74,0.0
2019-03-31,31.65,$-2.75,0.0
2018-12-31,29.09,$-2.73,0.0
2018-09-30,41.85,$-1.26,0.0
2018-06-30,48.75,$-1.36,0.0
2018-03-31,48.25,$-0.87,0.0
2017-12-31,43.88,$-1.79,0.0
2017-09-30,43.6,$-2.95,0.0
2017-06-30,43.69,$-3.56,0.0
2017-03-31,41.7,$-2.31,0.0
2016-12-31,39.35,$-2.32,0.0
2016-09-30,31.48,$-2.28,0.0
2016-06-30,26.67,$-1.09,0.0
2016-03-31,26.52,$-1.15,0.0
2015-12-31,30.42,$-1.17,0.0
2015-09-30,25.69,$0.56,45.67
2015-06-30,22.56,$-0.45,0.0
2015-03-31,23.5,$-0.55,0.0
2014-12-31,22.78,$-0.38,0.0
2014-09-30,19.47,$-1.77,0.0
2014-06-30,19.04,$-0.24,0.0
2014-03-31,20.57,$-0.01,0.0
2013-12-31,18.64,$0.75,24.76
2013-09-30,16.23,$-0.93,0.0
2013-06-30,14.88,$-1.21,0.0
2013-03-31,12.67,$0.27,46.98
2012-12-31,11.03,$-0.68,0.0
2012-09-30,11.12,$1.29,8.59
2012-06-30,11.12,$2.00,5.57
2012-03-31,11.6,$1.45,8.01
2011-12-31,9.08,$1.50,6.05
2011-09-30,7.69,$0.78,9.82
2011-06-30,7.83,$1.26,6.24
2011-03-31,8.97,$1.56,5.74
2010-12-31,9.31,$1.89,4.92
2010-09-30,8.26,$2.24,3.69
2010-06-30,8.53,$1.29,6.6
2010-03-31,7.93,$1.35,5.88
2009-12-31,6.24,$1.37,4.57
