Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data,Pinnacle West Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,87.52,,0.0
2024-06-30,75.62,$-3.52,0.0
2024-03-31,73.12,$-3.07,0.0
2023-12-31,69.4,$-4.02,0.0
2023-09-30,70.35,$-4.88,0.0
2023-06-30,76.97,$-4.95,0.0
2023-03-31,74.06,$-4.54,0.0
2022-12-31,70.25,$-2.90,0.0
2022-09-30,58.84,$-3.27,0.0
2022-06-30,65.93,$-3.15,0.0
2022-03-31,69.59,$-3.39,0.0
2021-12-31,62.14,$-4.49,0.0
2021-09-30,62.89,$-3.70,0.0
2021-06-30,70.54,$-3.16,0.0
2021-03-31,69.33,$-2.57,0.0
2020-12-31,67.39,$-2.64,0.0
2020-09-30,62.2,$-2.95,0.0
2020-06-30,60.58,$-2.34,0.0
2020-03-31,61.99,$-2.12,0.0
2019-12-31,72.98,$-1.45,0.0
2019-09-30,78.12,$0.48,163.6
2019-06-30,75.11,$1.91,39.27
2019-03-31,75.71,$2.08,36.4
2018-12-31,66.93,$1.13,59.46
2018-09-30,61.65,$0.42,145.54
2018-06-30,62.19,$-1.30,0.0
2018-03-31,61.07,$-2.22,0.0
2017-12-31,64.63,$-2.38,0.0
2017-09-30,63.65,$-1.85,0.0
2017-06-30,63.62,$-2.60,0.0
2017-03-31,61.82,$-1.50,0.0
2016-12-31,57.36,$-1.68,0.0
2016-09-30,55.38,$-1.98,0.0
2016-06-30,58.61,$-1.06,0.0
2016-03-31,53.81,$-0.69,0.0
2015-12-31,45.77,$0.58,78.81
2015-09-30,45.09,$0.08,577.27
2015-06-30,39.6,$0.22,178.08
2015-03-31,43.95,$0.72,60.91
2014-12-31,46.71,$1.88,24.81
2014-09-30,37.0,$1.08,34.4
2014-06-30,38.76,$1.52,25.55
2014-03-31,36.26,$1.65,21.92
2013-12-31,34.73,$1.61,21.61
2013-09-30,35.57,$3.31,10.75
2013-06-30,35.71,$3.35,10.66
2013-03-31,36.94,$4.42,8.36
2012-12-31,32.2,$3.00,10.74
2012-09-30,33.01,$2.40,13.75
2012-06-30,32.04,$2.44,13.15
2012-03-31,29.34,$0.96,30.6
2011-12-31,29.19,$2.54,11.48
2011-09-30,25.72,$2.79,9.21
2011-06-30,26.38,$2.47,10.66
2011-03-31,25.01,$2.99,8.37
2010-12-31,23.92,$0.33,73.56
2010-09-30,23.52,$1.64,14.38
2010-06-30,20.44,$3.57,5.72
2010-03-31,20.92,$3.70,5.66
2009-12-31,19.99,$3.52,5.68
