Diodes Price to Free Cash Flow Ratio Historical Data,Diodes Price to Free Cash Flow Ratio Historical Data,Diodes Price to Free Cash Flow Ratio Historical Data,Diodes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.94,,0.0
2024-06-30,71.93,$-0.65,0.0
2024-03-31,70.5,$0.63,111.04
2023-12-31,80.52,$2.87,28.06
2023-09-30,78.84,$3.46,22.76
2023-06-30,92.49,$4.54,20.39
2023-03-31,92.76,$4.32,21.47
2022-12-31,76.14,$3.94,19.35
2022-09-30,64.91,$3.57,18.19
2022-06-30,64.57,$3.47,18.63
2022-03-31,86.99,$3.97,21.89
2021-12-31,109.81,$4.38,25.07
2021-09-30,90.59,$4.56,19.85
2021-06-30,79.77,$3.72,21.45
2021-03-31,79.84,$2.54,31.49
2020-12-31,70.5,$2.14,32.92
2020-09-30,56.45,$2.62,21.57
2020-06-30,50.7,$3.01,16.86
2020-03-31,40.64,$2.85,14.24
2019-12-31,56.37,$3.10,18.2
2019-09-30,40.15,$2.88,13.95
2019-06-30,36.37,$2.40,15.19
2019-03-31,34.7,$2.49,13.94
2018-12-31,32.26,$1.93,16.68
2018-09-30,33.29,$1.99,16.76
2018-06-30,34.47,$1.72,20.0
2018-03-31,30.46,$1.36,22.39
2017-12-31,28.67,$1.46,19.67
2017-09-30,29.93,$1.26,23.77
2017-06-30,24.03,$1.51,15.96
2017-03-31,24.05,$1.62,14.81
2016-12-31,25.67,$1.33,19.26
2016-09-30,21.34,$0.18,116.42
2016-06-30,18.79,$-0.17,0.0
2016-03-31,20.1,$-0.36,0.0
2015-12-31,22.98,$-0.30,0.0
2015-09-30,21.36,$0.21,103.39
2015-06-30,24.11,$0.53,45.12
2015-03-31,28.56,$1.20,23.86
2014-12-31,27.57,$1.60,17.18
2014-09-30,23.92,$1.81,13.22
2014-06-30,28.96,$1.73,16.79
2014-03-31,26.12,$1.70,15.36
2013-12-31,23.56,$1.32,17.85
2013-09-30,24.5,$1.00,24.4
2013-06-30,25.97,$0.79,32.91
2013-03-31,20.98,$0.47,44.96
2012-12-31,17.35,$0.17,101.46
2012-09-30,17.01,$-0.16,0.0
2012-06-30,18.77,$-0.31,0.0
2012-03-31,23.18,$-0.44,0.0
2011-12-31,21.3,$-0.41,0.0
2011-09-30,17.92,$0.02,807.21
2011-06-30,26.1,$0.58,45.13
2011-03-31,34.06,$0.55,61.9
2010-12-31,26.99,$0.69,39.2
2010-09-30,17.09,$0.86,19.96
2010-06-30,15.87,$0.81,19.66
2010-03-31,22.4,$1.15,19.51
2009-12-31,20.41,$1.00,20.44
