Ellington Financial Price to Free Cash Flow Ratio Historical Data,Ellington Financial Price to Free Cash Flow Ratio Historical Data,Ellington Financial Price to Free Cash Flow Ratio Historical Data,Ellington Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.74,,0.0
2024-06-30,12.08,$-3.38,0.0
2024-03-31,11.81,$-2.99,0.0
2023-12-31,12.71,$-2.97,0.0
2023-09-30,12.47,$-2.38,0.0
2023-06-30,13.8,$-1.61,0.0
2023-03-31,12.21,$-0.22,0.0
2022-12-31,12.37,$0.88,14.05
2022-09-30,11.37,$1.40,8.11
2022-06-30,14.39,$1.76,8.19
2022-03-31,16.91,$1.68,10.04
2021-12-31,15.87,$1.31,12.08
2021-09-30,16.56,$2.02,8.21
2021-06-30,16.92,$2.22,7.63
2021-03-31,13.82,$2.30,5.99
2020-12-31,12.56,$2.93,4.29
2020-09-30,10.17,$3.33,3.05
2020-06-30,9.56,$3.36,2.84
2020-03-31,4.53,$3.27,1.38
2019-12-31,13.93,$3.14,4.43
2019-09-30,13.43,$-0.48,0.0
2019-06-30,13.04,$-7.43,0.0
2019-03-31,12.69,$-11.57,0.0
2018-12-31,10.52,$-16.31,0.0
2018-09-30,10.99,$-24.53,0.0
2018-06-30,10.45,$-18.26,0.0
2018-03-31,9.67,$-15.15,0.0
2017-12-31,9.21,$-14.44,0.0
2017-09-30,9.75,$-6.75,0.0
2017-06-30,9.73,$-4.18,0.0
2017-03-31,9.25,$-0.63,0.0
2016-12-31,8.82,$2.13,4.15
2016-09-30,9.22,$12.95,0.71
2016-06-30,9.21,$11.44,0.8
2016-03-31,9.1,$8.89,1.02
2015-12-31,8.52,$19.58,0.44
2015-09-30,8.83,$2.49,3.55
2015-06-30,8.83,$-12.65,0.0
2015-03-31,9.2,$-14.33,0.0
2014-12-31,8.93,$-21.61,0.0
2014-09-30,9.6,$-8.27,0.0
2014-06-30,10.06,$5.32,1.89
2014-03-31,9.67,$-6.23,0.0
2013-12-31,8.92,$-10.36,0.0
2013-09-30,8.55,$-27.61,0.0
2013-06-30,8.39,$-17.58,0.0
2013-03-31,8.83,$-2.28,0.0
2012-12-31,7.55,$-2.87,0.0
2012-09-30,7.43,$11.22,0.66
2012-06-30,6.68,$-2.84,0.0
2012-03-31,5.97,$0.92,6.51
2011-12-31,5.14,$-2.88,0.0
2011-09-30,5.02,$-30.71,0.0
