AMC Entertainment Holdings Price to Free Cash Flow Ratio Historical Data,AMC Entertainment Holdings Price to Free Cash Flow Ratio Historical Data,AMC Entertainment Holdings Price to Free Cash Flow Ratio Historical Data,AMC Entertainment Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.22,,0.0
2024-06-30,4.98,$-1.58,0.0
2024-03-31,3.72,$-1.72,0.0
2023-12-31,6.12,$-2.53,0.0
2023-09-30,7.99,$-2.65,0.0
2023-06-30,38.82,$-5.50,0.0
2023-03-31,44.21,$-6.41,0.0
2022-12-31,35.91,$-7.82,0.0
2022-09-30,61.5,$-7.30,0.0
2022-06-30,119.44,$0.39,303.54
2022-03-31,217.2,$-2.46,0.0
2021-12-31,239.77,$-7.32,0.0
2021-09-30,335.5,$23.66,14.18
2021-06-30,499.64,$-15.06,0.0
2021-03-31,90.0,$-36.62,0.0
2020-12-31,18.69,$-54.75,0.0
2020-09-30,41.52,$-66.01,0.0
2020-06-30,37.82,$-39.50,0.0
2020-03-31,27.86,$-8.76,0.0
2019-12-31,63.4,$8.10,7.83
2019-09-30,91.46,$-9.38,0.0
2019-06-30,78.39,$-12.53,0.0
2019-03-31,122.49,$-13.23,0.0
2018-12-31,99.94,$0.86,116.1
2018-09-30,164.53,$11.20,14.69
2018-06-30,117.42,$28.37,4.14
2018-03-31,102.34,$9.11,11.23
2017-12-31,108.6,$5.53,19.64
2017-09-30,104.24,$-0.99,0.0
2017-06-30,158.94,$-11.77,0.0
2017-03-31,217.86,$7.27,29.97
2016-12-31,231.54,$3.02,76.56
2016-09-30,212.65,$11.69,18.19
2016-06-30,187.62,$9.95,18.86
2016-03-31,188.9,$15.65,12.07
2015-12-31,160.72,$13.74,11.7
2015-09-30,167.33,$8.75,19.12
2015-06-30,202.32,$8.74,23.16
2015-03-31,232.4,$3.72,62.43
2014-12-31,170.45,$2.74,62.13
2014-09-30,148.52,$6.26,23.71
