Safehold Price to Free Cash Flow Ratio Historical Data,Safehold Price to Free Cash Flow Ratio Historical Data,Safehold Price to Free Cash Flow Ratio Historical Data,Safehold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.57,,83.34
2024-03-31,20.28,$0.29,68.78
2023-12-31,22.83,$0.23,98.92
2023-09-30,17.24,$-0.06,0.0
2023-06-30,22.75,$0.15,148.22
2023-03-31,27.94,$0.52,54.0
2022-12-31,44.32,$1.04,42.64
2022-09-30,42.04,$-6.68,0.0
2022-06-30,61.69,$2.79,22.08
2022-03-31,104.58,$0.96,108.72
2021-12-31,114.82,$2.43,47.32
2021-09-30,110.92,$15.39,7.21
2021-06-30,91.25,$5.95,15.34
2021-03-31,77.69,$9.57,8.12
2020-12-31,64.49,$10.65,6.05
2020-09-30,50.89,$8.39,6.07
2020-06-30,52.62,$-18.09,0.0
2020-03-31,44.86,$11.76,3.82
2019-12-31,60.95,$-8.52,0.0
2019-09-30,54.38,$-36.11,0.0
2019-06-30,51.34,$-7.49,0.0
2019-03-31,34.41,$-19.73,0.0
2018-12-31,37.09,$0.94,39.35
2018-09-30,44.8,$5.42,8.26
2018-06-30,42.9,$10.89,3.94
2018-03-31,40.43,$15.12,2.67
2017-12-31,44.92,$13.80,3.26
2017-09-30,46.91,$31.98,1.47
2017-06-30,47.87,$22.12,2.16
2024-06-30,19.16,$-3.74,0.0
2017-03-31,46.91,$-7.70,0.0
2016-12-31,49.18,$-7.46,0.0
2016-09-30,42.66,$23.71,1.8
2016-06-30,38.13,$6.28,6.07
2016-03-31,38.4,$9.41,4.08
2015-12-31,46.63,$15.90,2.93
2015-09-30,50.01,$-33.93,0.0
2015-06-30,52.96,$-12.62,0.0
2015-03-31,51.68,$1.52,33.9
2014-12-31,54.27,$-10.48,0.0
2014-09-30,53.67,$4.54,11.83
2014-06-30,59.55,$4.50,13.23
2014-03-31,58.68,$-3.54,0.0
2013-12-31,56.73,$3.35,16.92
2013-09-30,47.87,$-32.33,0.0
2013-06-30,44.88,$-25.51,0.0
2013-03-31,43.29,$-16.74,0.0
2012-12-31,32.4,$-17.00,0.0
2012-09-30,32.92,$37.64,0.87
2012-06-30,25.64,$28.09,0.91
2012-03-31,28.82,$8.90,3.24
2011-12-31,21.03,$8.68,2.42
2011-09-30,23.14,$21.86,1.06
2011-06-30,32.24,$26.77,1.2
2011-03-31,36.5,$113.20,0.32
2010-12-31,31.09,$116.26,0.27
2010-09-30,12.17,$80.17,0.15
2010-06-30,17.73,$91.17,0.19
2010-03-31,18.25,$2.55,7.16
2009-12-31,10.18,$7.27,1.4
