Axsome Therapeutics Price to Free Cash Flow Ratio Historical Data,Axsome Therapeutics Price to Free Cash Flow Ratio Historical Data,Axsome Therapeutics Price to Free Cash Flow Ratio Historical Data,Axsome Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.35,,0.0
2024-06-30,80.5,$-3.56,0.0
2024-03-31,79.8,$-4.20,0.0
2023-12-31,79.59,$-3.21,0.0
2023-09-30,69.89,$-3.18,0.0
2023-06-30,71.86,$-2.58,0.0
2023-03-31,61.68,$-2.16,0.0
2022-12-31,77.13,$-2.88,0.0
2022-09-30,44.62,$-2.92,0.0
2022-06-30,38.3,$-3.19,0.0
2022-03-31,41.39,$-3.01,0.0
2021-12-31,37.78,$-2.89,0.0
2021-09-30,32.96,$-2.67,0.0
2021-06-30,67.46,$-2.37,0.0
2021-03-31,56.62,$-2.21,0.0
2020-12-31,81.47,$-2.11,0.0
2020-09-30,71.25,$-2.08,0.0
2020-06-30,82.28,$-1.96,0.0
2020-03-31,58.83,$-1.70,0.0
2019-12-31,103.36,$-1.36,0.0
2019-09-30,20.24,$-1.19,0.0
2019-06-30,25.75,$-1.10,0.0
2019-03-31,14.23,$-1.14,0.0
2018-12-31,2.82,$-1.12,0.0
2018-09-30,3.45,$-1.08,0.0
2018-06-30,3.2,$-1.14,0.0
2018-03-31,2.45,$-1.09,0.0
2017-12-31,5.6,$-1.16,0.0
2017-09-30,5.55,$-1.23,0.0
2017-06-30,5.5,$-1.21,0.0
2017-03-31,3.9,$-1.25,0.0
2016-12-31,6.75,$-1.12,0.0
2016-09-30,7.88,$-1.26,0.0
