Urban Outfitters Price to Free Cash Flow Ratio Historical Data,Urban Outfitters Price to Free Cash Flow Ratio Historical Data,Urban Outfitters Price to Free Cash Flow Ratio Historical Data,Urban Outfitters Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.56,,14.66
2024-07-31,46.05,$2.56,17.98
2024-04-30,38.96,$3.43,11.35
2024-01-31,38.0,$3.28,11.57
2023-10-31,34.62,$2.37,14.59
2023-07-31,36.37,$2.27,16.01
2023-04-30,27.06,$1.02,26.43
2023-01-31,27.39,$-0.60,0.0
2022-10-31,23.86,$-1.27,0.0
2022-07-31,20.48,$-1.39,0.0
2022-04-30,23.8,$-0.56,0.0
2022-01-31,28.72,$0.98,29.43
2021-10-31,31.93,$0.65,49.28
2021-07-31,37.18,$1.74,21.31
2021-04-30,35.9,$2.28,15.72
2021-01-31,27.43,$1.28,21.35
2020-10-31,22.34,$2.34,9.55
2020-07-31,16.54,$1.56,10.64
2020-04-30,17.34,$-0.38,0.0
2020-01-31,25.6,$0.56,45.61
2019-10-31,28.7,$0.89,32.43
2019-07-31,23.81,$0.99,24.01
2019-04-30,29.73,$2.64,11.25
2019-01-31,32.3,$3.02,10.68
2018-10-31,39.46,$2.62,15.06
2018-07-31,44.4,$2.72,16.31
2018-04-30,40.27,$2.31,17.43
2018-01-31,34.11,$1.95,17.48
2017-10-31,24.52,$2.28,10.75
2017-07-31,19.59,$2.28,8.58
2017-04-30,22.88,$1.89,12.08
2017-01-31,26.54,$2.32,11.46
2016-10-31,33.45,$2.29,14.59
2016-07-31,29.9,$2.46,12.17
2016-04-30,30.32,$2.77,10.94
2016-01-31,22.88,$2.26,10.13
2015-10-31,28.6,$1.97,14.52
2015-07-31,32.62,$1.18,27.72
2015-04-30,40.04,$0.59,68.37
2015-01-31,34.86,$0.67,52.07
2014-10-31,30.36,$0.70,43.08
2014-07-31,35.73,$1.03,34.71
2014-04-30,35.66,$1.51,23.63
2014-01-31,35.82,$1.59,22.55
2013-10-31,37.88,$1.69,22.43
2013-07-31,42.56,$2.17,19.64
2013-04-30,41.44,$1.60,25.84
2013-01-31,42.8,$1.55,27.68
2012-10-31,35.75,$1.07,33.43
2012-07-31,30.55,$0.48,64.01
2012-04-30,28.96,$0.61,47.11
2012-01-31,26.5,$0.59,44.65
2011-10-31,27.25,$0.55,49.3
2011-07-31,32.54,$1.16,28.1
2011-04-30,31.47,$1.21,26.04
2011-01-31,33.82,$1.42,23.86
2010-10-31,30.79,$1.33,23.21
2010-07-31,32.16,$1.27,25.36
2010-04-30,37.56,$1.16,32.5
2010-01-31,31.57,$1.26,25.01
2009-10-31,31.38,$1.55,20.3
