Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data,Arch Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.46,,8.76
2024-06-30,151.95,$16.27,9.34
2024-03-31,160.5,$-21.05,0.0
2023-12-31,163.97,$-20.09,0.0
2023-09-30,168.63,$-6.02,0.0
2023-06-30,108.08,$0.15,736.22
2022-12-31,131.15,$49.41,2.65
2022-09-30,101.53,$38.80,2.62
2022-06-30,117.7,$23.27,5.06
2022-03-31,107.8,$12.97,8.31
2021-12-31,71.51,$-2.35,0.0
2023-03-31,123.2,$-1.76,0.0
2021-09-30,72.4,$-11.53,0.0
2021-06-30,44.48,$-13.98,0.0
2021-03-31,32.47,$-12.89,0.0
2020-12-31,34.17,$-14.83,0.0
2020-09-30,33.16,$-12.69,0.0
2020-06-30,22.18,$-7.00,0.0
2020-03-31,22.56,$-0.19,0.0
2019-12-31,55.41,$8.87,6.25
2019-09-30,56.97,$16.88,3.38
2019-06-30,71.9,$17.94,4.01
2019-03-31,69.3,$15.48,4.48
2018-12-31,62.7,$15.64,4.01
2018-09-30,67.55,$12.62,5.35
2018-06-30,58.99,$11.88,4.96
2018-03-31,68.78,$11.83,5.81
2017-12-31,69.46,$13.91,4.99
2017-09-30,53.25,$2.24,23.77
