MYR Price to Free Cash Flow Ratio Historical Data,MYR Price to Free Cash Flow Ratio Historical Data,MYR Price to Free Cash Flow Ratio Historical Data,MYR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.29,,930.31
2024-06-30,135.71,$0.13,1015.79
2024-03-31,176.75,$-2.58,0.0
2023-12-31,144.63,$-0.48,0.0
2023-09-30,134.76,$1.98,67.94
2023-06-30,138.34,$2.29,60.44
2023-03-31,126.01,$6.08,20.71
2022-12-31,92.07,$5.44,16.92
2022-09-30,84.73,$2.17,38.99
2022-06-30,88.13,$2.90,30.44
2022-03-31,94.04,$2.51,37.5
2021-12-31,110.55,$5.12,21.58
2021-09-30,99.5,$6.37,15.61
2021-06-30,90.92,$7.06,12.88
2021-03-31,71.67,$9.45,7.59
2020-12-31,60.1,$7.95,7.56
2020-09-30,37.18,$7.07,5.26
2020-06-30,31.91,$6.73,4.74
2020-03-31,26.19,$-0.05,0.0
2019-12-31,32.59,$-0.68,0.0
2019-09-30,31.29,$-1.47,0.0
2019-06-30,37.35,$-1.65,0.0
2018-12-31,28.17,$2.33,12.08
2018-09-30,32.64,$0.22,146.04
2018-06-30,35.46,$-0.98,0.0
2018-03-31,30.82,$-4.37,0.0
2017-12-31,35.73,$-5.07,0.0
2019-03-31,34.63,$-3.70,0.0
2017-09-30,29.14,$-2.36,0.0
2017-06-30,31.02,$-0.12,0.0
2017-03-31,41.0,$1.50,27.26
2016-12-31,37.68,$1.86,20.3
2016-09-30,30.1,$2.93,10.27
2016-06-30,24.08,$2.91,8.26
2016-03-31,25.11,$1.22,20.53
2015-12-31,20.61,$-0.04,0.0
2015-09-30,26.2,$-0.56,0.0
2015-06-30,30.96,$0.80,38.54
2015-03-31,31.34,$1.08,28.95
2014-12-31,27.4,$0.76,36.19
2014-09-30,24.08,$0.49,48.99
2014-06-30,25.33,$1.53,16.6
2014-03-31,25.32,$1.50,16.85
2013-12-31,25.08,$2.61,9.61
2013-09-30,24.3,$2.09,11.63
2013-03-31,24.56,$0.68,36.0
2012-12-31,22.25,$-0.29,0.0
2012-09-30,19.95,$-1.68,0.0
2012-06-30,17.06,$0.83,20.49
2012-03-31,17.86,$-1.07,0.0
2011-12-31,19.14,$-0.59,0.0
2013-06-30,19.45,$0.78,25.07
2011-09-30,17.64,$-0.69,0.0
2011-06-30,23.4,$0.45,52.43
2011-03-31,23.92,$1.27,18.82
2010-12-31,21.0,$1.17,18.02
2010-09-30,16.39,$0.31,53.47
2010-06-30,16.69,$-0.01,0.0
2010-03-31,16.31,$0.12,140.72
2009-12-31,18.07,$-0.24,0.0
