Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data,Federated Hermes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.4,,9.68
2024-06-30,32.57,$3.97,8.21
2024-03-31,34.38,$3.74,9.2
2023-12-31,31.97,$3.62,8.82
2023-09-30,31.71,$3.62,8.77
2023-06-30,33.28,$3.69,9.02
2023-03-31,37.0,$4.02,9.2
2022-12-31,33.24,$3.73,8.92
2022-09-30,30.09,$2.92,10.29
2022-06-30,28.66,$2.05,13.97
2022-03-31,30.42,$1.80,16.86
2021-12-31,33.3,$1.71,19.52
2021-09-30,28.57,$2.28,12.53
2021-06-30,29.56,$2.74,10.77
2021-03-31,27.06,$3.11,8.71
2020-12-31,24.74,$3.73,6.64
2020-09-30,17.5,$3.67,4.77
2020-06-30,19.08,$3.76,5.08
2020-03-31,15.15,$3.45,4.39
2019-12-31,25.74,$3.29,7.82
2019-09-30,25.39,$3.22,7.88
2019-06-30,25.46,$1.67,15.28
2019-03-31,22.77,$1.61,14.16
2018-12-31,20.42,$1.95,10.47
2018-09-30,18.35,$2.71,6.78
2018-06-30,17.54,$4.27,4.11
2018-03-31,24.85,$4.02,6.18
2017-12-31,26.65,$3.88,6.87
2017-09-30,21.76,$2.84,7.66
2017-06-30,20.51,$2.68,7.66
2017-03-31,18.94,$2.64,7.18
2016-12-31,20.14,$2.55,7.9
2016-09-30,20.1,$2.46,8.16
2016-06-30,19.37,$2.40,8.08
2016-03-31,19.25,$2.36,8.17
2015-12-31,18.92,$2.26,8.37
2015-09-30,18.93,$2.23,8.51
2015-06-30,21.78,$1.89,11.54
2015-03-31,21.88,$1.79,12.19
2014-12-31,21.1,$1.82,11.57
2014-09-30,18.66,$2.43,7.68
2014-06-30,19.48,$2.50,7.78
2014-03-31,19.07,$2.49,7.66
2013-12-31,17.81,$2.49,7.15
2013-09-30,16.64,$1.87,8.9
2013-06-30,16.65,$2.88,5.77
2013-03-31,14.23,$2.95,4.83
2012-12-31,12.04,$3.07,3.93
2012-09-30,11.35,$2.00,5.68
2012-06-30,11.85,$1.16,10.24
2012-03-31,12.02,$0.89,13.54
2011-12-31,8.02,$1.05,7.67
2011-09-30,9.17,$1.79,5.11
2011-06-30,12.32,$1.80,6.84
2011-03-31,13.69,$2.20,6.22
2010-12-31,13.28,$2.11,6.28
2010-09-30,11.44,$2.27,5.04
2010-06-30,10.29,$2.43,4.24
2010-03-31,12.98,$2.34,5.55
2009-12-31,12.75,$2.48,5.14
