Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data,Global Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.77,,32.35
2024-06-30,44.82,$1.45,31.01
2024-03-31,42.92,$8.17,5.25
2023-12-31,40.29,$12.82,3.14
2023-09-30,32.92,$4.81,6.84
2023-06-30,28.04,$7.37,3.81
2023-03-31,27.7,$13.03,2.13
2022-12-31,29.77,$14.74,2.02
2022-09-30,20.76,$16.33,1.27
2022-06-30,19.28,$15.00,1.29
2022-03-31,21.87,$3.08,7.1
2021-12-31,18.43,$-1.32,0.0
2021-09-30,16.21,$1.88,8.61
2021-06-30,19.38,$0.25,76.63
2021-03-31,15.61,$-0.09,0.0
2020-12-31,11.83,$7.12,1.66
2020-09-30,9.03,$5.15,1.75
2020-06-30,6.51,$6.67,0.98
2020-03-31,5.66,$7.27,0.78
2019-12-31,12.6,$0.83,15.13
2019-09-30,11.95,$7.67,1.56
2019-06-30,11.82,$2.99,3.96
2019-03-31,11.37,$4.09,2.78
2018-12-31,9.19,$3.48,2.64
2018-09-30,10.02,$-2.95,0.0
2018-06-30,9.16,$2.28,4.02
2018-03-31,8.02,$2.55,3.14
2017-12-31,8.49,$9.85,0.86
2017-09-30,8.63,$6.69,1.29
2017-06-30,8.73,$5.72,1.53
2017-03-31,9.2,$2.42,3.8
2016-12-31,8.98,$-3.38,0.0
2016-09-30,7.24,$1.50,4.81
2016-06-30,5.94,$-0.55,0.0
2016-03-31,5.65,$1.49,3.78
2015-12-31,7.13,$-0.81,0.0
2015-09-30,11.25,$2.93,3.84
2015-06-30,12.6,$6.05,2.08
2015-03-31,13.29,$3.56,3.73
2014-12-31,12.39,$9.23,1.34
2014-09-30,15.4,$3.90,3.95
2014-06-30,14.78,$-3.44,0.0
2014-03-31,13.1,$-1.23,0.0
2013-12-31,12.48,$7.16,1.74
2013-09-30,12.06,$9.10,1.33
2013-06-30,13.63,$11.11,1.23
2013-03-31,12.05,$19.22,0.63
2012-12-31,8.37,$7.33,1.14
2012-09-30,8.46,$5.20,1.63
2012-06-30,7.21,$8.59,0.84
2012-03-31,7.2,$-0.40,0.0
2011-12-31,6.64,$-1.43,0.0
2011-09-30,5.21,$-4.39,0.0
2011-06-30,7.36,$-11.69,0.0
2011-03-31,7.39,$-12.30,0.0
2010-12-31,7.66,$-6.14,0.0
2010-09-30,6.81,$-8.98,0.0
2010-06-30,6.05,$-3.66,0.0
2010-03-31,5.89,$-10.38,0.0
2009-12-31,5.93,$-5.29,0.0
