United States Cellular Price to Free Cash Flow Ratio Historical Data,United States Cellular Price to Free Cash Flow Ratio Historical Data,United States Cellular Price to Free Cash Flow Ratio Historical Data,United States Cellular Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,58.71,,11.06
2024-06-30,55.82,$5.31,10.52
2024-03-31,36.5,$5.56,6.56
2023-12-31,41.54,$2.97,14.01
2023-09-30,42.97,$2.90,14.83
2023-06-30,17.63,$-0.21,0.0
2023-03-31,20.73,$-0.98,0.0
2022-12-31,20.85,$2.67,7.8
2022-09-30,26.03,$1.33,19.57
2022-06-30,28.96,$3.30,8.78
2022-03-31,30.23,$2.85,10.61
2021-12-31,31.52,$0.90,35.16
2021-09-30,31.89,$2.32,13.74
2021-06-30,36.31,$1.24,29.23
2021-03-31,36.48,$2.44,14.94
2020-12-31,30.69,$2.85,10.77
2020-09-30,29.53,$0.98,30.22
2020-06-30,30.87,$1.18,26.24
2020-03-31,29.29,$-0.90,0.0
2019-12-31,36.23,$0.84,43.08
2019-09-30,37.58,$1.37,27.43
2019-06-30,44.67,$2.24,19.97
2019-03-31,45.91,$3.01,15.26
2018-12-31,51.97,$2.26,22.95
2018-09-30,44.78,$2.09,21.44
2018-06-30,37.04,$1.52,24.32
2018-03-31,40.19,$1.66,24.17
2017-12-31,37.63,$0.05,809.25
2017-09-30,35.4,$0.76,46.29
2017-06-30,38.32,$0.45,85.16
2017-03-31,37.33,$-0.34,0.0
2016-12-31,43.72,$0.68,64.07
2016-09-30,36.34,$-0.46,0.0
2016-06-30,39.27,$-1.25,0.0
2016-03-31,45.69,$-1.24,0.0
2015-12-31,40.81,$-0.31,0.0
2015-09-30,35.43,$-2.30,0.0
2015-06-30,37.67,$-2.64,0.0
2015-03-31,35.72,$-2.98,0.0
2014-12-31,39.83,$-5.15,0.0
2014-09-30,35.48,$-3.47,0.0
2014-06-30,40.8,$-7.11,0.0
2014-03-31,41.01,$-6.44,0.0
2013-12-31,41.82,$-5.04,0.0
2013-09-30,45.53,$-1.80,0.0
2013-06-30,36.69,$2.55,14.4
2013-03-31,30.72,$1.15,26.67
2012-12-31,30.07,$0.86,35.17
2012-09-30,33.39,$-0.76,0.0
2012-06-30,32.96,$0.30,111.65
2012-03-31,34.93,$1.50,23.24
2011-12-31,37.24,$2.53,14.73
2011-09-30,33.84,$3.95,8.56
2011-06-30,41.32,$3.37,12.25
2011-03-31,43.94,$4.30,10.23
2010-12-31,42.62,$3.06,13.91
2010-09-30,39.23,$3.06,12.81
2010-06-30,35.12,$3.97,8.84
2010-03-31,35.31,$3.72,9.5
2009-12-31,36.19,$3.91,9.25
