Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data,Unifirst Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,193.89,,37.47
2024-05-31,158.31,$5.17,30.59
2024-02-29,168.09,$4.75,35.39
2023-11-30,171.63,$3.34,51.4
2023-08-31,174.83,$2.36,74.01
2023-05-31,169.56,$0.43,395.98
2023-02-28,194.04,$-0.78,0.0
2022-11-30,191.38,$-0.41,0.0
2022-08-31,177.74,$-1.04,0.0
2022-05-31,160.88,$-1.07,0.0
2022-02-28,178.09,$0.13,1345.12
2021-11-30,188.03,$2.37,79.32
2021-08-31,224.5,$4.16,53.91
2021-05-31,217.02,$7.71,28.14
2021-02-28,236.96,$8.25,28.71
2020-11-30,180.58,$8.29,21.79
2020-08-31,187.89,$8.94,21.01
2020-05-31,175.16,$8.69,20.15
2020-02-29,180.77,$8.41,21.5
2019-11-30,200.41,$9.24,21.69
2019-08-31,190.25,$8.48,22.44
2019-05-31,154.09,$7.71,19.98
2019-02-28,139.45,$6.85,20.35
2018-11-30,149.61,$5.04,29.71
2018-08-31,179.33,$5.97,30.06
2018-05-31,171.86,$5.77,29.81
2018-02-28,150.25,$3.13,48.07
2017-11-30,158.15,$2.44,64.72
2017-08-31,138.86,$2.40,57.79
2017-05-31,136.99,$1.94,70.56
2016-08-31,124.02,$5.43,22.85
2016-05-31,111.69,$8.44,13.24
2016-02-29,101.75,$9.31,10.92
2015-11-30,104.77,$8.80,11.91
2015-08-31,104.57,$8.28,12.63
2016-11-30,136.57,$6.02,22.69
2015-05-31,110.23,$6.05,18.23
2015-02-28,114.55,$4.96,23.11
2014-11-30,107.54,$4.62,23.27
2014-08-31,93.39,$5.16,18.11
2014-05-31,95.28,$5.41,17.62
2014-02-28,105.59,$6.61,15.98
2013-11-30,98.38,$6.19,15.9
2013-08-31,92.22,$5.46,16.89
2013-05-31,91.24,$4.86,18.79
2013-02-28,80.28,$5.11,15.72
2012-11-30,67.78,$5.05,13.42
2012-08-31,60.96,$4.33,14.09
2012-05-31,54.89,$3.23,17.01
2012-02-29,57.59,$2.41,23.94
2011-11-30,55.4,$1.23,44.96
2011-08-31,49.56,$1.14,43.32
2011-05-31,51.28,$1.44,35.53
2011-02-28,53.9,$2.47,21.79
2010-11-30,48.96,$0.23,208.62
2010-08-31,37.46,$1.53,24.47
2010-05-31,42.89,$2.12,20.27
2010-02-28,50.06,$0.28,176.88
2009-08-31,37.92,$4.85,7.83
2009-05-31,32.43,$6.37,5.09
