Clarivate Price to Free Cash Flow Ratio Historical Data,Clarivate Price to Free Cash Flow Ratio Historical Data,Clarivate Price to Free Cash Flow Ratio Historical Data,Clarivate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.7,,11.28
2024-06-30,5.69,$0.59,9.58
2024-03-31,7.43,$0.67,11.14
2023-12-31,9.26,$0.75,12.4
2023-09-30,6.71,$0.69,9.72
2023-06-30,9.53,$0.74,12.81
2023-03-31,9.39,$0.66,14.2
2022-12-31,8.34,$0.45,18.47
2022-09-30,9.39,$0.30,31.34
2022-06-30,13.86,$0.10,132.13
2022-03-31,16.76,$0.13,130.94
2021-12-31,23.52,$0.32,73.41
2021-09-30,21.9,$0.58,37.88
2021-06-30,27.53,$0.55,50.46
2021-03-31,26.39,$0.52,51.01
2020-12-31,29.71,$0.36,81.42
2020-09-30,30.99,$0.09,335.03
2020-06-30,22.33,$0.25,88.47
2020-03-31,20.75,$0.08,246.14
2019-12-31,16.8,$0.17,96.39
2019-09-30,16.87,$-0.12,0.0
