Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data,Ternium S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.67,,7.09
2024-06-30,37.55,$5.03,7.46
2024-03-31,39.48,$-5.63,0.0
2023-12-31,40.28,$-1.31,0.0
2023-09-30,36.72,$2.18,16.86
2023-06-30,36.49,$-1.21,0.0
2022-12-31,26.85,$11.08,2.42
2022-09-30,23.42,$11.79,1.99
2022-06-30,30.86,$9.64,3.2
2022-03-31,37.38,$11.67,3.2
2021-12-31,35.64,$10.98,3.25
2021-09-30,33.98,$6.83,4.98
2021-06-30,30.9,$5.60,5.51
2023-03-31,36.25,$6.40,5.67
2021-03-31,29.55,$6.19,4.77
2020-12-31,22.12,$6.12,3.61
2020-09-30,14.33,$5.36,2.67
2020-06-30,11.54,$4.66,2.48
2020-03-31,8.38,$2.63,3.19
2019-12-31,15.48,$3.04,5.1
2019-09-30,13.51,$4.55,2.97
2019-06-30,15.79,$5.01,3.15
2019-03-31,18.29,$7.11,2.57
2018-12-31,18.2,$6.21,2.93
2018-09-30,20.35,$3.78,5.38
2018-06-30,23.39,$2.79,8.38
2018-03-31,21.24,$0.32,65.63
2017-12-31,20.65,$-0.12,0.0
2017-09-30,20.22,$1.26,16.03
2017-06-30,18.36,$1.11,16.52
2017-03-31,16.38,$2.69,6.1
2016-12-31,15.15,$3.39,4.47
2016-09-30,12.31,$3.42,3.6
2016-06-30,11.95,$3.53,3.39
2016-03-31,10.75,$3.83,2.81
2015-12-31,7.43,$4.34,1.71
2015-09-30,7.35,$3.90,1.88
2015-06-30,10.35,$4.20,2.47
2015-03-31,10.34,$2.18,4.74
2014-12-31,10.1,$0.31,32.16
2014-09-30,13.76,$0.27,51.13
2014-06-30,15.99,$-0.35,0.0
2014-03-31,16.5,$-0.23,0.0
2013-12-31,17.46,$1.08,16.24
2013-09-30,13.4,$0.44,30.21
2013-06-30,12.62,$0.23,53.78
2013-03-31,11.04,$0.27,40.21
2012-12-31,12.78,$0.18,72.65
2012-09-30,10.65,$1.67,6.38
2012-06-30,10.62,$1.43,7.43
2012-03-31,12.45,$0.05,258.76
2011-12-31,9.67,$0.18,52.36
2011-09-30,10.95,$-0.77,0.0
2011-06-30,15.52,$-0.88,0.0
2011-03-31,17.98,$1.15,15.63
2010-12-31,21.22,$1.74,12.2
2010-09-30,16.33,$1.28,12.79
2010-06-30,16.47,$2.10,7.86
2010-03-31,20.22,$3.83,5.29
2009-12-31,17.46,$3.88,4.5
