RxSight Price to Free Cash Flow Ratio Historical Data,RxSight Price to Free Cash Flow Ratio Historical Data,RxSight Price to Free Cash Flow Ratio Historical Data,RxSight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.03,,0.0
2024-06-30,60.17,$-0.98,0.0
2024-03-31,51.58,$-1.07,0.0
2023-12-31,40.32,$-1.35,0.0
2023-09-30,27.89,$-1.54,0.0
2023-06-30,28.8,$-1.89,0.0
2023-03-31,16.68,$-2.24,0.0
2022-12-31,12.67,$-2.21,0.0
2022-09-30,12.0,$-3.12,0.0
2022-06-30,14.08,$-4.56,0.0
