QXO Price to Free Cash Flow Ratio Historical Data,QXO Price to Free Cash Flow Ratio Historical Data,QXO Price to Free Cash Flow Ratio Historical Data,QXO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.42,,0.0
2024-06-30,71.76,$-0.31,0.0
2024-03-31,87.88,$1.94,45.32
2023-12-31,114.0,$0.28,406.42
2023-09-30,21.85,$2.53,8.63
2023-06-30,21.36,$3.37,6.34
2023-03-31,19.33,$1.72,11.21
2022-12-31,18.76,$2.86,6.55
2022-09-30,17.81,$1.39,12.78
2022-06-30,17.18,$0.58,29.68
2022-03-31,20.66,$0.96,21.6
2021-12-31,28.33,$0.18,159.97
2021-09-30,38.47,$2.84,13.53
2021-06-30,73.23,$1.09,67.32
2021-03-31,45.97,$2.62,17.53
2020-12-31,17.21,$2.85,6.03
2020-09-30,14.24,$0.70,20.28
2020-06-30,10.8,$1.06,10.18
2020-03-31,10.23,$-0.24,0.0
2019-12-31,20.93,$-1.73,0.0
2019-09-30,17.08,$-2.13,0.0
2019-06-30,14.19,$-2.78,0.0
2019-03-31,14.43,$-2.60,0.0
2018-12-31,10.89,$-0.74,0.0
2018-09-30,18.4,$1.03,17.9
2018-06-30,19.46,$2.66,7.31
2018-03-31,17.6,$3.45,5.1
