CVR Energy Price to Free Cash Flow Ratio Historical Data,CVR Energy Price to Free Cash Flow Ratio Historical Data,CVR Energy Price to Free Cash Flow Ratio Historical Data,CVR Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.7,,6.22
2024-06-30,26.26,$3.97,6.62
2024-03-31,34.39,$6.70,5.14
2023-12-31,28.78,$7.40,3.89
2023-09-30,30.32,$8.83,3.44
2023-06-30,25.64,$6.63,3.87
2023-03-31,27.48,$7.95,3.46
2022-12-31,25.88,$5.72,4.52
2022-09-30,23.05,$5.97,3.86
2022-06-30,24.35,$5.58,4.36
2021-12-31,12.06,$1.78,6.77
2021-09-30,11.95,$-1.27,0.0
2021-06-30,12.88,$0.90,14.38
2021-03-31,10.8,$1.16,9.28
2020-12-31,8.39,$0.22,38.34
2022-03-31,18.32,$2.57,7.14
2020-09-30,6.97,$0.21,33.38
2020-06-30,11.33,$1.72,6.58
2020-03-31,9.11,$3.69,2.47
2019-12-31,21.68,$6.60,3.29
2019-09-30,23.21,$6.93,3.35
2019-06-30,25.96,$7.11,3.65
2019-03-31,21.39,$7.61,2.81
2018-12-31,17.58,$5.70,3.09
2018-09-30,20.15,$3.41,5.91
2018-06-30,18.14,$1.58,11.5
2018-03-31,14.62,$0.24,60.43
2017-12-31,17.73,$1.47,12.02
2017-09-30,12.13,$3.08,3.93
2017-06-30,9.93,$3.81,2.61
2017-03-31,8.95,$3.14,2.85
2016-12-31,11.08,$1.54,7.18
2016-09-30,5.78,$-0.45,0.0
2016-06-30,6.28,$0.18,34.95
2016-03-31,10.32,$1.84,5.61
2015-12-31,15.22,$3.67,4.15
2015-09-30,15.71,$6.14,2.56
2015-06-30,14.23,$4.85,2.93
2015-03-31,15.89,$3.86,4.11
2014-12-31,14.28,$4.86,2.94
2014-09-30,16.24,$4.67,3.48
2014-06-30,16.54,$2.40,6.9
2014-03-31,14.27,$2.17,6.57
2013-12-31,14.4,$2.12,6.8
2013-09-30,12.5,$0.53,23.73
2013-06-30,15.12,$5.63,2.69
2013-03-31,14.73,$7.31,2.01
2012-12-31,12.62,$6.30,2.0
2012-09-30,9.51,$6.09,1.56
2012-06-30,6.88,$4.27,1.61
2012-03-31,6.92,$3.86,1.79
2011-12-31,4.85,$2.14,2.27
2011-09-30,5.47,$4.16,1.31
2011-06-30,6.37,$3.51,1.82
2011-03-31,5.99,$1.59,3.77
2010-12-31,3.93,$2.22,1.77
2010-09-30,2.13,$0.95,2.24
2010-06-30,1.95,$-0.01,0.0
2010-03-31,2.26,$0.56,4.05
2009-12-31,1.77,$0.43,4.14
