Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data,Greenbrier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.64,,0.0
2024-05-31,54.92,$-4.72,0.0
2024-02-29,51.14,$-3.73,0.0
2023-11-30,37.02,$-0.58,0.0
2023-08-31,41.44,$-6.28,0.0
2023-05-31,26.27,$-3.88,0.0
2023-02-28,30.75,$-9.27,0.0
2022-11-30,36.41,$-9.70,0.0
2022-08-31,26.85,$-11.17,0.0
2022-05-31,38.86,$-12.21,0.0
2022-02-28,41.24,$-8.61,0.0
2021-11-30,36.86,$-14.80,0.0
2021-08-31,40.4,$-4.86,0.0
2021-05-31,40.42,$0.09,443.72
2021-02-28,42.55,$8.51,5.0
2020-11-30,29.95,$9.97,3.0
2020-08-31,24.18,$8.64,2.8
2020-05-31,18.68,$4.84,3.86
2020-02-29,20.98,$-1.34,0.0
2019-11-30,24.1,$-2.06,0.0
2019-08-31,19.79,$-2.84,0.0
2019-05-31,22.91,$-4.65,0.0
2019-02-28,34.49,$-4.37,0.0
2018-11-30,40.9,$-0.50,0.0
2018-08-31,48.24,$2.43,19.87
2018-05-31,41.15,$8.27,4.98
2018-02-28,42.65,$5.64,7.56
2017-11-30,40.98,$6.16,6.65
2017-08-31,34.99,$6.87,5.09
2017-05-31,35.9,$3.49,10.28
2017-02-28,33.95,$5.64,6.02
2016-11-30,31.18,$11.33,2.75
2016-08-31,27.06,$9.30,2.91
2016-05-31,22.76,$11.18,2.04
2016-02-29,20.06,$10.76,1.86
2015-11-30,26.46,$4.06,6.52
2015-08-31,32.39,$2.75,11.78
2015-05-31,46.64,$-0.31,0.0
2015-02-28,45.4,$-0.57,0.0
2014-11-30,42.73,$1.21,35.21
2014-08-31,54.95,$3.51,15.68
2014-05-31,42.55,$6.67,6.38
2014-02-28,32.25,$6.17,5.23
2013-11-30,23.96,$5.48,4.37
2013-08-31,17.3,$4.46,3.88
2013-05-31,17.98,$0.85,21.16
2013-02-28,15.52,$2.24,6.93
2012-11-30,14.65,$0.30,49.63
2012-08-31,11.08,$0.94,11.77
2012-05-31,10.61,$1.76,6.03
2012-02-29,19.38,$-1.54,0.0
2011-11-30,17.02,$-5.63,0.0
2011-08-31,13.32,$-4.90,0.0
2011-05-31,19.98,$-4.58,0.0
2011-02-28,19.15,$-2.68,0.0
2010-08-31,8.95,$1.31,6.81
2010-05-31,10.97,$9.42,1.16
2010-02-28,7.04,$5.27,1.34
2009-11-30,8.23,$6.59,1.25
2009-08-31,9.87,$9.36,1.05
