Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data,Principal Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,81.42,,4.98
2024-06-30,78.45,$16.35,4.8
2024-03-31,85.56,$14.73,5.81
2023-12-31,77.32,$15.09,5.12
2023-09-30,70.19,$23.31,3.01
2023-06-30,73.24,$19.08,3.84
2023-03-31,71.08,$18.80,3.78
2022-12-31,79.57,$19.47,4.09
2022-03-31,67.92,$11.05,6.15
2021-12-31,66.28,$11.45,5.79
2021-09-30,58.47,$14.70,3.98
2021-06-30,56.83,$16.97,3.35
2021-03-31,53.43,$17.00,3.14
2020-12-31,43.77,$22.80,1.92
2020-03-31,26.6,$20.66,1.29
2019-12-31,46.1,$19.08,2.42
2019-09-30,47.41,$29.98,1.58
2019-06-30,47.56,$14.18,3.35
2019-03-31,40.75,$16.10,2.53
2018-12-31,35.49,$15.08,2.35
2022-06-30,62.35,$3.07,20.3
2018-09-30,46.57,$14.45,3.22
2018-06-30,41.69,$13.35,3.12
2018-03-31,47.52,$14.55,3.27
2017-12-31,54.59,$13.73,3.98
2017-09-30,49.43,$14.91,3.32
2017-06-30,48.86,$11.54,4.24
2017-03-31,47.78,$11.40,4.19
2016-12-31,43.5,$12.65,3.44
2016-09-30,38.44,$13.09,2.94
2016-06-30,30.42,$14.37,2.12
2016-03-31,28.94,$15.12,1.91
2015-12-31,32.68,$14.23,2.3
2015-09-30,34.12,$9.80,3.48
2015-06-30,36.68,$9.83,3.73
2015-03-31,36.47,$7.63,4.78
2014-12-31,36.62,$8.12,4.51
2020-09-30,35.14,$10.94,3.21
2014-09-30,36.75,$9.62,3.82
2014-06-30,35.14,$4.30,8.18
2014-03-31,31.8,$6.46,4.92
2013-12-31,33.9,$5.22,6.49
2013-09-30,29.28,$4.61,6.36
2020-06-30,35.77,$9.52,3.76
2013-06-30,25.45,$7.83,3.25
2013-03-31,22.99,$3.79,6.06
2012-12-31,19.13,$4.24,4.51
2012-09-30,17.93,$2.39,7.5
2012-06-30,17.33,$1.22,14.16
2011-12-31,16.02,$8.36,1.92
2011-09-30,14.37,$11.56,1.24
2011-06-30,19.28,$14.04,1.37
2011-03-31,20.35,$13.61,1.5
2010-12-31,20.64,$12.49,1.65
2012-03-31,19.35,$8.84,2.19
2010-09-30,16.11,$7.83,2.06
2010-06-30,14.57,$7.19,2.03
2010-03-31,18.15,$5.84,3.11
2009-12-31,14.94,$7.42,2.01
2009-09-30,16.7,$13.15,1.27
