Universal Price to Free Cash Flow Ratio Historical Data,Universal Price to Free Cash Flow Ratio Historical Data,Universal Price to Free Cash Flow Ratio Historical Data,Universal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.36,,0.0
2024-06-30,46.62,$-4.00,0.0
2024-03-31,49.21,$-5.53,0.0
2023-12-31,63.25,$2.63,24.08
2023-09-30,43.61,$11.46,3.81
2023-06-30,45.39,$2.18,20.79
2023-03-31,47.35,$-2.57,0.0
2022-12-31,46.59,$-5.55,0.0
2022-09-30,39.91,$-9.37,0.0
2022-06-30,51.67,$-16.14,0.0
2022-03-31,48.94,$-0.17,0.0
2021-12-31,45.65,$3.74,12.2
2021-09-30,39.55,$-5.00,0.0
2021-03-31,46.96,$6.68,7.03
2020-12-31,38.14,$5.01,7.61
2020-09-30,32.28,$-7.87,0.0
2020-06-30,32.17,$2.64,12.2
2020-03-31,32.92,$-3.79,0.0
2021-06-30,45.96,$-13.27,0.0
2019-12-31,41.92,$2.22,18.91
2019-09-30,39.7,$2.54,15.6
2019-06-30,43.48,$7.20,6.04
2019-03-31,40.71,$4.96,8.2
2018-12-31,37.74,$-0.18,0.0
2018-09-30,44.77,$2.18,20.53
2018-06-30,45.01,$-0.21,0.0
2018-03-31,32.69,$2.05,15.91
2017-12-31,35.02,$0.93,37.82
2017-09-30,37.85,$-0.36,0.0
2017-06-30,42.38,$3.92,10.81
2017-03-31,45.98,$9.12,5.04
2016-12-31,41.09,$11.61,3.54
2016-09-30,37.18,$11.38,3.27
2016-06-30,36.53,$11.13,3.28
2016-03-31,35.6,$5.12,6.96
2015-12-31,34.8,$6.63,5.25
2015-09-30,30.45,$16.38,1.86
2015-06-30,34.89,$6.18,5.64
2015-03-31,28.39,$6.15,4.62
2014-12-31,26.13,$-1.56,0.0
2014-09-30,26.06,$-6.42,0.0
2014-06-30,32.2,$1.25,25.79
2014-03-31,32.2,$-1.64,0.0
2013-12-31,31.16,$-0.62,0.0
2013-09-30,28.78,$-1.72,0.0
2013-06-30,32.41,$1.01,32.06
2013-03-31,31.12,$7.28,4.28
2012-12-31,27.45,$11.01,2.49
2012-09-30,27.74,$9.53,2.91
2012-06-30,24.98,$10.38,2.41
2012-03-31,24.86,$6.35,3.91
2011-12-31,24.26,$6.54,3.71
2011-09-30,18.69,$6.46,2.89
2011-06-30,19.39,$3.82,5.07
2011-03-31,22.18,$0.72,31.0
2010-12-31,20.48,$-0.94,0.0
2010-09-30,19.94,$-2.44,0.0
2010-06-30,19.51,$-3.67,0.0
2010-03-31,25.68,$3.70,6.95
2009-12-31,22.02,$3.09,7.13
