AppLovin Price to Free Cash Flow Ratio Historical Data,AppLovin Price to Free Cash Flow Ratio Historical Data,AppLovin Price to Free Cash Flow Ratio Historical Data,AppLovin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,143.0,,36.13
2024-06-30,83.22,$3.96,21.02
2024-03-31,69.22,$3.29,21.03
2023-12-31,39.85,$2.94,13.56
2023-09-30,39.96,$2.57,15.56
2023-06-30,25.73,$2.44,10.56
2023-03-31,15.75,$2.08,7.58
2022-12-31,10.53,$1.22,8.63
2022-09-30,19.49,$1.03,18.89
2022-06-30,34.44,$0.86,40.0
2022-03-31,55.07,$1.00,54.96
