Columbia Financial Price to Free Cash Flow Ratio Historical Data,Columbia Financial Price to Free Cash Flow Ratio Historical Data,Columbia Financial Price to Free Cash Flow Ratio Historical Data,Columbia Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.63,,50.54
2024-06-30,14.97,$0.35,42.92
2024-03-31,17.21,$0.49,34.81
2023-12-31,19.28,$0.32,59.97
2023-09-30,15.71,$0.94,16.63
2023-06-30,17.29,$0.86,20.0
2023-03-31,18.28,$0.93,19.69
2022-12-31,21.62,$1.29,16.79
2022-09-30,21.13,$1.30,16.26
2022-06-30,21.81,$0.94,23.28
2022-03-31,21.51,$-0.38,0.0
2021-12-31,20.86,$0.91,22.85
2021-09-30,18.5,$0.99,18.76
2021-06-30,17.22,$1.07,16.16
2021-03-31,17.48,$2.10,8.32
2020-12-31,15.56,$0.40,38.45
2020-09-30,11.1,$-0.07,0.0
2020-06-30,13.96,$0.13,103.99
2020-03-31,14.4,$-0.24,0.0
2019-12-31,16.94,$0.02,759.64
2019-09-30,15.79,$0.18,86.9
2019-06-30,15.1,$0.06,232.67
2019-03-31,15.67,$0.56,28.22
