Autolus Therapeutics Price to Free Cash Flow Ratio Historical Data,Autolus Therapeutics Price to Free Cash Flow Ratio Historical Data,Autolus Therapeutics Price to Free Cash Flow Ratio Historical Data,Autolus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.7,,0.0
2024-06-30,3.48,$-0.74,0.0
2024-03-31,6.38,$-0.82,0.0
2023-12-31,6.44,$-0.90,0.0
2023-09-30,2.33,$-0.86,0.0
2023-06-30,2.38,$-1.04,0.0
2023-03-31,1.84,$-1.17,0.0
2022-12-31,1.9,$-1.30,0.0
2022-09-30,2.14,$-1.35,0.0
2022-06-30,2.83,$-1.43,0.0
2022-03-31,4.17,$-1.52,0.0
2021-12-31,5.19,$-1.76,0.0
2021-09-30,6.55,$-2.25,0.0
2021-06-30,6.64,$-2.58,0.0
2021-03-31,5.73,$-2.66,0.0
2020-12-31,8.94,$-2.57,0.0
2020-09-30,11.64,$-2.78,0.0
2020-06-30,16.03,$-2.56,0.0
2020-03-31,5.99,$-2.46,0.0
2019-12-31,13.2,$-2.78,0.0
2019-09-30,12.42,$-1.12,0.0
2019-06-30,16.1,$-0.63,0.0
2019-03-31,31.47,$-0.86,0.0
