Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.09,,12.06
2024-06-30,49.66,$5.40,9.2
2024-03-31,50.94,$5.96,8.55
2023-12-31,63.74,$5.91,10.78
2023-09-30,47.15,$7.22,6.53
2023-06-30,42.28,$8.40,5.03
2023-03-31,61.59,$8.31,7.41
2022-12-31,78.6,$8.68,9.06
2022-09-30,68.94,$6.78,10.17
2022-06-30,72.99,$4.73,15.43
2022-03-31,74.59,$4.19,17.82
2021-12-31,74.0,$4.73,15.63
2021-09-30,68.7,$5.92,11.61
2021-06-30,67.68,$5.66,11.96
2021-03-31,75.01,$4.07,18.44
2020-12-31,64.72,$1.75,37.05
2020-09-30,46.13,$2.64,17.48
2020-06-30,58.54,$6.27,9.33
2020-03-31,55.75,$4.76,11.7
2019-12-31,71.58,$6.20,11.54
2019-09-30,63.85,$4.99,12.81
2019-06-30,64.75,$1.92,33.66
2019-03-31,68.49,$4.76,14.39
2018-12-31,59.09,$4.81,12.29
2018-09-30,69.05,$4.96,13.92
2018-06-30,65.24,$4.99,13.07
2018-03-31,59.25,$4.05,14.64
2017-12-31,57.53,$4.10,14.04
2017-09-30,61.21,$4.46,13.73
2017-06-30,54.41,$4.10,13.27
2017-03-31,52.8,$4.36,12.12
2016-12-31,56.93,$3.13,18.18
2016-09-30,43.53,$2.22,19.57
2016-06-30,36.58,$2.19,16.7
2016-03-31,36.56,$2.81,13.02
2015-12-31,36.78,$3.09,11.89
2015-09-30,36.24,$3.04,11.91
2015-06-30,36.66,$3.64,10.08
2015-03-31,34.11,$3.19,10.7
2014-12-31,33.09,$3.49,9.47
2014-09-30,27.45,$3.51,7.83
2014-06-30,29.3,$3.88,7.56
2014-03-31,29.87,$5.18,5.77
2013-12-31,29.49,$5.72,5.16
2013-09-30,26.77,$5.41,4.95
2013-06-30,25.71,$3.50,7.34
2013-03-31,24.13,$2.52,9.57
2012-12-31,21.29,$1.73,12.3
2012-09-30,21.97,$2.02,10.9
2012-06-30,21.18,$1.81,11.69
2012-03-31,20.68,$0.80,25.83
2011-12-31,19.5,$2.27,8.6
2011-09-30,15.43,$1.53,10.08
2011-06-30,18.46,$2.96,6.25
2011-03-31,18.86,$2.55,7.41
2010-12-31,18.75,$1.87,10.02
2010-09-30,15.51,$1.04,14.96
2010-06-30,16.85,$1.25,13.48
2010-03-31,16.72,$2.59,6.46
2009-12-31,14.04,$1.26,11.1
