Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data,Wheaton Precious Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.58,,0.0
2024-06-30,52.29,$-0.36,0.0
2024-03-31,46.86,$-0.47,0.0
2023-12-31,49.06,$0.29,167.68
2023-09-30,40.2,$1.33,30.22
2023-06-30,42.69,$1.39,30.68
2023-03-31,47.42,$1.46,32.52
2022-12-31,38.36,$1.60,24.04
2022-09-30,31.63,$1.08,29.27
2022-06-30,35.06,$1.62,21.62
2022-03-31,46.13,$1.37,33.66
2021-12-31,41.5,$1.48,28.11
2021-09-30,36.2,$1.92,18.88
2021-03-31,36.57,$1.48,24.77
2020-12-31,39.81,$1.70,23.42
2020-09-30,46.66,$1.53,30.56
2020-06-30,41.81,$1.35,30.86
2020-03-31,26.07,$1.03,25.43
2019-12-31,28.08,$0.87,32.14
2019-09-30,24.69,$0.84,29.32
2021-06-30,42.31,$0.76,55.92
2019-06-30,22.67,$-0.17,0.0
2019-03-31,22.15,$-0.97,0.0
2018-12-31,18.16,$-0.95,0.0
2018-09-30,16.27,$-0.82,0.0
2018-06-30,20.41,$0.39,52.17
2018-03-31,18.69,$1.50,12.47
