Extreme Networks Price to Free Cash Flow Ratio Historical Data,Extreme Networks Price to Free Cash Flow Ratio Historical Data,Extreme Networks Price to Free Cash Flow Ratio Historical Data,Extreme Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.15,,52.42
2024-06-30,13.45,$0.29,46.54
2024-03-31,11.54,$0.76,15.12
2023-12-31,17.64,$1.67,10.55
2023-09-30,24.21,$1.95,12.45
2023-06-30,26.05,$1.76,14.79
2023-03-31,19.12,$1.65,11.59
2022-12-31,18.31,$1.28,14.36
2022-09-30,13.07,$0.92,14.23
2022-06-30,8.92,$0.84,10.56
2022-03-31,12.21,$0.82,14.96
2021-12-31,15.7,$0.97,16.16
2021-09-30,9.85,$1.10,8.99
2021-06-30,11.16,$1.00,11.19
2021-03-31,8.75,$0.63,13.9
2020-12-31,6.89,$0.51,13.46
2020-09-30,4.02,$0.40,10.15
2020-06-30,4.34,$0.17,25.22
2020-03-31,3.09,$0.28,10.99
2019-12-31,7.37,$0.38,19.44
2019-09-30,7.28,$0.42,17.22
2019-06-30,6.47,$0.70,9.28
2019-03-31,7.49,$0.56,13.47
2018-12-31,6.1,$0.23,26.9
2018-09-30,5.48,$-0.05,0.0
2018-06-30,7.96,$-0.19,0.0
2018-03-31,11.07,$-0.09,0.0
2017-12-31,12.52,$0.32,38.73
2017-09-30,11.89,$0.47,25.26
2017-06-30,9.22,$0.45,20.43
2017-03-31,7.51,$0.42,17.93
2016-12-31,5.03,$0.26,19.62
2016-09-30,4.49,$0.26,17.31
2016-06-30,3.39,$0.24,13.96
2016-03-31,3.11,$0.18,17.29
2015-12-31,4.08,$0.05,85.0
2015-09-30,3.36,$0.88,3.82
2015-06-30,2.69,$0.80,3.34
2015-03-31,3.16,$0.46,6.82
2014-12-31,3.53,$0.46,7.61
2014-06-30,4.44,$-0.52,0.0
2014-03-31,5.8,$-0.28,0.0
2013-12-31,6.98,$0.02,315.84
2013-09-30,5.22,$0.10,54.49
2013-06-30,3.44,$0.18,19.6
2014-09-30,4.79,$0.02,299.38
2013-03-31,3.37,$0.10,34.53
2012-12-31,3.64,$0.12,29.45
2012-09-30,3.35,$0.20,16.9
2012-06-30,3.44,$0.09,37.89
2012-03-31,3.83,$0.02,226.63
2011-12-31,2.92,$0.06,47.71
2011-09-30,2.65,$0.07,36.91
2011-06-30,3.24,$0.12,27.14
2011-03-31,3.5,$0.20,17.25
2010-12-31,3.09,$0.07,47.03
2010-09-30,3.11,$0.03,102.98
2010-06-30,2.7,$0.07,41.41
2010-03-31,3.07,$0.02,138.29
2009-12-31,2.87,$0.02,126.43
