Ocular Therapeutix Price to Free Cash Flow Ratio Historical Data,Ocular Therapeutix Price to Free Cash Flow Ratio Historical Data,Ocular Therapeutix Price to Free Cash Flow Ratio Historical Data,Ocular Therapeutix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.09,,0.0
2024-06-30,6.84,$-0.67,0.0
2024-03-31,9.1,$-0.85,0.0
2023-12-31,4.46,$-0.89,0.0
2023-09-30,3.14,$-0.82,0.0
2023-06-30,5.16,$-0.98,0.0
2023-03-31,5.27,$-0.84,0.0
2022-12-31,2.81,$-0.77,0.0
2022-09-30,4.15,$-0.79,0.0
2022-06-30,4.02,$-0.72,0.0
2022-03-31,4.95,$-0.84,0.0
2021-12-31,6.97,$-0.81,0.0
2021-09-30,10.0,$-0.80,0.0
2021-06-30,14.18,$-0.76,0.0
2021-03-31,16.41,$-0.73,0.0
2020-12-31,20.7,$-0.90,0.0
2020-09-30,7.61,$-1.33,0.0
2020-06-30,8.33,$-1.43,0.0
2020-03-31,4.95,$-1.68,0.0
2019-12-31,3.95,$-1.76,0.0
2019-09-30,3.04,$-1.53,0.0
2019-06-30,4.4,$-1.58,0.0
2019-03-31,3.97,$-1.43,0.0
2018-12-31,3.98,$-1.34,0.0
2018-09-30,6.88,$-1.34,0.0
2018-06-30,6.75,$-1.64,0.0
2018-03-31,6.51,$-1.82,0.0
2017-12-31,4.45,$-2.04,0.0
2017-09-30,6.18,$-1.98,0.0
2017-06-30,9.27,$-1.74,0.0
2017-03-31,9.28,$-1.66,0.0
2016-12-31,8.37,$-1.45,0.0
2016-09-30,6.87,$-1.57,0.0
2016-06-30,4.95,$-1.56,0.0
2016-03-31,9.66,$-1.57,0.0
2015-12-31,9.37,$-1.53,0.0
2015-09-30,14.06,$-2.08,0.0
2015-06-30,21.03,$-2.79,0.0
