Digi Price to Free Cash Flow Ratio Historical Data,Digi Price to Free Cash Flow Ratio Historical Data,Digi Price to Free Cash Flow Ratio Historical Data,Digi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.75,,17.24
2024-06-30,22.93,$1.78,12.85
2024-03-31,31.93,$1.59,20.06
2023-12-31,26.0,$1.34,19.39
2023-09-30,27.0,$0.88,30.72
2023-06-30,39.39,$0.89,44.31
2023-03-31,33.68,$0.89,37.68
2022-12-31,36.55,$0.89,41.13
2022-09-30,34.57,$0.99,34.79
2022-06-30,24.22,$1.27,19.13
2022-03-31,21.52,$1.32,16.26
2021-12-31,24.57,$1.56,15.79
2021-09-30,21.02,$1.66,12.66
2021-06-30,20.11,$1.65,12.15
2021-03-31,18.99,$2.20,8.62
2020-12-31,18.9,$2.14,8.81
2020-09-30,15.63,$1.14,13.75
2020-06-30,11.65,$0.83,13.95
2020-03-31,9.54,$0.28,33.71
2019-12-31,17.72,$-0.22,0.0
2019-09-30,13.62,$1.04,13.08
2019-06-30,12.68,$1.05,12.06
2019-03-31,12.67,$0.24,52.99
2018-12-31,10.09,$0.37,27.15
2018-09-30,13.45,$-0.04,0.0
2018-06-30,13.2,$-0.26,0.0
2017-12-31,9.55,$0.06,172.69
2017-09-30,10.6,$0.03,409.27
2017-06-30,10.15,$1.06,9.55
2017-03-31,11.9,$0.14,88.08
2016-12-31,13.75,$0.43,31.65
2016-09-30,11.4,$0.81,14.06
2018-03-31,10.3,$-0.21,0.0
2016-06-30,10.73,$0.90,11.88
2016-03-31,9.43,$0.62,15.25
2015-12-31,11.38,$0.50,22.93
2015-09-30,11.79,$0.33,36.22
2015-06-30,9.55,$0.33,28.66
2014-12-31,9.29,$0.15,63.76
2014-09-30,7.5,$-0.06,0.0
2014-06-30,9.42,$0.39,24.31
2014-03-31,10.15,$-0.08,0.0
2013-12-31,12.12,$0.24,50.54
2013-09-30,9.99,$0.31,32.73
2015-03-31,9.98,$-0.06,0.0
2013-06-30,9.37,$0.42,22.49
2013-03-31,8.93,$0.34,26.0
2012-12-31,9.47,$0.51,18.46
2012-09-30,10.16,$0.43,23.77
2012-06-30,10.24,$0.43,23.95
2012-03-31,10.99,$0.63,17.32
2011-12-31,11.16,$0.53,21.11
2011-09-30,11.0,$0.74,14.87
2011-06-30,13.0,$0.67,19.48
2011-03-31,10.56,$0.46,22.83
2010-12-31,11.1,$0.56,19.83
2010-09-30,9.49,$0.52,18.18
2010-06-30,8.27,$0.79,10.51
2010-03-31,10.64,$0.86,12.31
2009-12-31,9.12,$0.59,15.46
