Amcor Price to Free Cash Flow Ratio Historical Data,Amcor Price to Free Cash Flow Ratio Historical Data,Amcor Price to Free Cash Flow Ratio Historical Data,Amcor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,11.44,,18.99
2024-06-30,9.78,$0.60,16.24
2024-03-31,9.51,$0.57,16.73
2023-12-31,9.64,$0.58,16.64
2023-09-30,9.16,$0.62,14.88
2023-06-30,9.98,$0.52,19.26
2023-03-31,11.24,$0.50,22.71
2022-12-31,11.77,$0.56,21.13
2022-09-30,10.6,$0.56,18.81
2022-06-30,12.16,$0.67,18.13
2022-03-31,10.98,$0.62,17.8
2021-12-31,11.52,$0.56,20.64
2021-09-30,11.01,$0.63,17.51
2021-06-30,10.78,$0.65,16.46
2021-03-31,10.88,$0.71,15.4
2020-12-31,10.85,$0.68,15.91
2020-09-30,10.08,$0.61,16.66
2020-06-30,9.23,$0.62,14.82
2020-03-31,7.25,$0.55,13.22
