ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data,ArcBest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.89,,23.01
2024-06-30,106.96,$4.56,23.47
2024-03-31,142.19,$2.44,58.18
2023-12-31,119.85,$3.98,30.15
2023-09-30,101.24,$4.44,22.82
2023-06-30,98.3,$8.11,12.11
2023-03-31,91.82,$13.27,6.92
2022-12-31,69.5,$12.74,5.45
2022-09-30,72.05,$13.31,5.41
2022-06-30,69.62,$10.43,6.67
2022-03-31,79.52,$2.39,33.28
2021-12-31,118.28,$4.76,24.84
2021-09-30,80.64,$4.62,17.47
2021-06-30,57.31,$3.85,14.87
2020-12-31,41.93,$6.13,6.84
2020-09-30,30.45,$7.34,4.15
2020-06-30,25.92,$5.64,4.6
2020-03-31,17.06,$4.80,3.55
2019-12-31,26.78,$6.29,4.26
2021-03-31,69.24,$3.08,22.45
2019-09-30,29.47,$5.29,5.57
2019-06-30,27.13,$5.69,4.77
2019-03-31,29.63,$6.04,4.91
2018-12-31,32.9,$7.70,4.27
2018-09-30,46.53,$6.06,7.68
2018-06-30,43.73,$5.59,7.82
2018-03-31,30.62,$4.37,7.0
2017-12-31,34.07,$3.05,11.17
2017-09-30,31.8,$1.78,17.83
2017-06-30,19.52,$1.36,14.33
2017-03-31,24.53,$1.21,20.28
2016-12-31,26.02,$1.60,16.27
2016-09-30,17.85,$1.83,9.74
2016-06-30,15.18,$2.22,6.82
2016-03-31,20.07,$2.80,7.17
2015-12-31,19.8,$2.59,7.63
2015-09-30,23.78,$2.94,8.08
2015-06-30,29.29,$3.98,7.36
2015-03-31,34.85,$1.38,25.24
2014-12-31,42.58,$2.12,20.04
2014-09-30,34.21,$2.85,12.01
2014-06-30,39.86,$1.71,23.33
2013-12-31,30.81,$2.40,12.85
2013-09-30,23.45,$3.10,7.56
2013-06-30,20.94,$2.66,7.87
2013-03-31,10.63,$1.54,6.9
2012-12-31,8.66,$1.82,4.77
2012-09-30,7.17,$0.91,7.87
2012-06-30,11.36,$1.14,9.98
2012-03-31,16.92,$2.40,7.05
2011-12-31,17.31,$1.94,8.9
2011-09-30,14.48,$1.60,9.02
2011-06-30,21.25,$0.62,34.34
2011-03-31,23.18,$0.57,41.04
2010-12-31,24.5,$0.65,37.65
2010-09-30,21.62,$-0.38,0.0
2010-06-30,18.49,$-0.40,0.0
2010-03-31,26.6,$-0.94,0.0
2009-12-31,26.16,$-1.46,0.0
2009-09-30,26.46,$-0.51,0.0
